GEND,SCHOOL,ZIP3,CONFUNI,CONFCHOIC,WAVERG2,AVG,PREF,ACCEPTED
119,10504,N2T,196.0,1.0,945,92.66666666666667,1,1
120,10786,L5V,175.0,6.0,937,89.33333333333333,8,0
120,11000,L3T,176.0,5.0,852,81.5,2,0
120,11140,M2H,190.0,3.0,870,86.33333333333333,2,0
119,10555,L4B,178.0,1.0,963,96.33333333333333,3,0
120,11015,L1N,178.0,1.0,957,95.0,2,0
120,10888,L4L,190.0,1.0,880,86.5,3,0
120,10342,M6E,194.0,3.0,773,75.66666666666667,4,0
120,10926,L5L,178.0,1.0,915,89.5,2,0
120,10696,L0K,191.0,1.0,927,90.0,2,0
119,10333,P4N,196.0,3.0,932,92.16666666666667,3,1
120,10502,N8A,179.0,1.0,865,86.5,2,0
119,10440,M5M,191.0,2.0,913,86.5,4,0
119,10913,L3R,178.0,1.0,952,79.83333333333333,2,0
120,10931,K1H,178.0,2.0,885,16.0,5,0
120,10614,K1W,193.0,1.0,830,82.16666666666667,5,0
119,10816,L5N,196.0,1.0,865,83.83333333333333,2,0
119,11011,L7N,191.0,1.0,957,94.66666666666667,3,0
120,10267,L7E,194.0,1.0,898,89.0,3,0
119,10578,L6C,181.0,4.0,797,79.16666666666667,1,0
120,10548,N5A,179.0,2.0,897,88.0,3,0
120,10529,K8P,196.0,3.0,972,96.33333333333333,3,1
120,10492,M2N,194.0,1.0,885,86.16666666666667,3,0
119,10876,M5N,178.0,1.0,943,93.83333333333333,3,0
120,10690,L0E,194.0,2.0,865,86.5,3,0
120,11066,N0P,177.0,2.0,870,80.16666666666667,1,0
119,10277,K7K,179.0,1.0,880,88.0,3,0
120,11140,M2H,194.0,1.0,910,91.0,5,0
119,10649,L5V,191.0,6.0,923,89.33333333333333,5,0
120,10363,M1K,193.0,6.0,823,78.33333333333333,3,0
120,10672,L4B,190.0,6.0,862,83.0,5,0
120,10698,M4H,194.0,3.0,888,88.0,8,0
120,11229,M2N,197.0,4.0,882,88.16666666666667,1,0
120,11230,M2N,190.0,4.0,832,80.16666666666667,2,0
120,10981,K0K,196.0,3.0,838,83.0,3,1
119,10884,P2N,191.0,1.0,965,94.16666666666667,2,0
119,10532,M6P,194.0,1.0,970,97.0,4,0
120,10614,K4A,196.0,4.0,847,82.33333333333333,1,0
120,11047,N8H,177.0,3.0,820,81.0,2,0
120,11140,M3H,194.0,1.0,900,90.0,5,0
120,10548,N5A,196.0,1.0,810,77.83333333333333,1,0
119,11199,L8R,193.0,1.0,760,76.0,4,0
