GEND,SCHOOL,ZIP3,CONFUNI,CONFPR,CONFCHOIC,WAVERG2,AVG,PREF,ACCEPTED
120,10528,O2D,178.0,KSO,1.0,912,89.5,2,0
120,10878,L0K,191.0,ZI,2.0,908,90.83333333333333,4,0
119,10452,O4X,196.0,SIA,1.0,872,82.16666666666667,1,1
120,10364,L8D,196.0,SIA,2.0,930,91.16666666666667,2,1
120,10504,O3W,178.0,KA,3.0,955,95.5,1,0
119,10881,Q7B,191.0,ZI,2.0,887,87.0,3,0
120,10215,M0D,196.0,SIA,1.0,848,82.66666666666667,1,1
120,10725,M6N,194.0,OD,1.0,958,95.16666666666667,3,0
120,10639,M6N,196.0,SI,2.0,803,80.33333333333333,2,1
120,10434,M6C,,,,0,65.83333333333333,3,0
119,11058,N3O,191.0,ZI,10.0,868,85.16666666666667,2,0
120,11054,N5X,178.0,KS,3.0,890,86.0,6,0
120,10817,O7Q,179.0,II,1.0,872,86.0,2,0
119,10918,N0B,196.0,SI,2.0,915,91.0,2,1
119,10837,N0W,194.0,OL,1.0,880,82.0,2,0
119,10918,N0B,178.0,KBO,2.0,873,85.33333333333333,3,0
120,10616,O7K,,,,820,78.83333333333333,3,0
120,10523,O6Q,196.0,SIA,2.0,835,83.5,2,1
120,11164,,194.0,OE,1.0,907,88.0,2,0
120,11140,N4I,178.0,KAP,4.0,922,90.83333333333333,6,0
120,10429,M7I,194.0,OL,3.0,867,85.16666666666667,2,0
120,11194,M7B,196.0,SI,2.0,835,82.16666666666667,2,1
120,10223,M6M,191.0,ZI,2.0,952,93.33333333333333,1,0
120,10530,O3M,178.0,KKW,1.0,908,90.83333333333333,3,0
120,11015,M2O,179.0,II,1.0,875,85.83333333333333,4,0
119,10223,M7K,179.0,II,2.0,822,82.16666666666667,4,0
120,10434,M6C,190.0,PAV,1.0,803,78.5,2,0
120,10690,M1D,181.0,YII,2.0,765,75.66666666666667,3,0
120,10459,O3L,178.0,KSO,1.0,935,93.5,3,0
120,11049,M9L,196.0,SIA,3.0,855,85.5,3,1
120,10546,O6B,191.0,ZI,1.0,908,90.66666666666667,3,0
120,10528,O2D,178.0,KKC,5.0,925,90.66666666666667,3,0
120,10215,M0C,178.0,KA,1.0,905,90.5,2,0
120,10313,,193.0,RUI,6.0,825,81.33333333333333,1,0
120,10806,M3B,197.0,VNT,4.0,773,77.33333333333333,2,0
120,10455,M2D,193.0,RCI,3.0,942,94.16666666666667,2,0
120,11237,L7I,199.0,AID,1.0,827,82.66666666666667,3,0
119,10358,,178.0,KKW,2.0,952,95.16666666666667,4,0
119,10407,M0Z,191.0,ZI,1.0,950,95.0,3,0
120,10837,N0W,,,,0,55.833333333333336,5,0
120,10444,L8D,199.0,AIN,1.0,748,74.66666666666667,2,0
120,10767,O6Z,179.0,II,1.0,822,82.16666666666667,2,0
120,11059,M4N,196.0,SIA,2.0,853,85.33333333333333,2,1
120,11063,Q0O,,,,903,89.5,2,0
119,10918,N0C,194.0,OTV,3.0,870,84.0,8,0
120,10310,,181.0,YII,3.0,720,72.0,4,0
120,11099,N5O,,,,818,81.83333333333333,3,0
120,10874,N5H,178.0,KI,1.0,868,86.83333333333333,3,0
119,10531,N3K,190.0,PAV,5.0,907,90.66666666666667,3,0
119,10618,L3I,193.0,RPG,2.0,885,87.16666666666667,1,0
120,11012,O4T,178.0,KXP,1.0,845,84.5,4,0
120,10412,M2F,178.0,KIS,2.0,808,80.5,4,0
119,11030,N6O,191.0,ZA,1.0,943,92.5,5,0
120,11024,M0H,196.0,SIA,1.0,955,93.66666666666667,1,1
120,10600,N3K,178.0,KSO,1.0,880,87.33333333333333,5,0
120,10556,L1M,191.0,ZI,1.0,868,86.83333333333333,2,0
119,10585,O1C,197.0,VSI,1.0,783,78.33333333333333,3,0
120,10757,M1H,190.0,PIC,5.0,800,80.0,3,0
119,10660,M2L,191.0,ZI,2.0,955,93.83333333333333,3,0
120,11168,L2N,178.0,KPR,1.0,897,88.16666666666667,4,0
120,10275,O4D,197.0,VNR,2.0,842,14.333333333333334,3,0
120,11024,M0L,196.0,SIA,1.0,853,86.83333333333333,1,1
120,10530,O2S,196.0,SIA,1.0,830,83.0,1,1
120,10619,O3W,194.0,OSB,3.0,783,72.5,4,0
120,11101,O6Y,177.0,BIC,3.0,832,83.16666666666667,2,0
120,10452,O4X,196.0,SI,3.0,908,89.16666666666667,3,1
120,10850,L8Q,196.0,SIA,1.0,948,94.83333333333333,1,1
120,10850,L8N,,,,0,65.66666666666667,2,0
120,11236,M6W,196.0,SI,1.0,862,86.16666666666667,1,1
120,10977,L0B,181.0,YII,2.0,955,94.0,4,0
120,11164,,196.0,SI,1.0,848,83.16666666666667,1,1
119,10215,M0D,178.0,KD,8.0,840,80.33333333333333,2,0
120,10215,M9X,196.0,SI,1.0,850,85.0,1,1
120,10215,M0C,178.0,KPR,1.0,873,86.66666666666667,5,0
119,11140,N3I,194.0,OD,1.0,980,98.0,6,0
120,10215,M0C,178.0,KKC,1.0,858,84.5,3,0
120,10238,333,194.0,OD,1.0,915,91.5,6,0
120,11164,M1T,196.0,STP,1.0,913,90.33333333333333,4,1
120,11164,442,190.0,PSK,3.0,773,77.33333333333333,2,0
119,10215,M0D,178.0,KS,5.0,812,46.166666666666664,9,0
120,11180,N2L,178.0,KST,6.0,857,85.66666666666667,1,0
120,10709,M9H,196.0,SI,1.0,860,86.0,1,1
120,10625,O7L,179.0,II,1.0,873,86.66666666666667,2,0
120,10529,L1L,,,,883,88.33333333333333,3,0
120,10990,L0I,178.0,KPR,1.0,910,86.66666666666667,4,0
120,10381,O0H,177.0,BI,1.0,878,86.16666666666667,2,0
119,10898,M5H,178.0,KA,1.0,889,86.66666666666667,3,0
120,11168,L3D,,,,778,70.5,7,0
120,10837,M7Q,178.0,KY,1.0,837,83.66666666666667,2,0
120,11168,L3K,197.0,VSI,4.0,803,79.5,2,0
120,10458,N4C,194.0,OHA,2.0,910,84.5,6,0
119,10557,M7M,196.0,SIA,3.0,902,90.16666666666667,3,1
120,10757,M5F,196.0,SI,2.0,875,87.5,2,1
120,10725,M6M,194.0,OSK,4.0,945,93.5,1,0
120,10709,M9H,196.0,SIA,1.0,840,84.0,1,1
120,10789,L8H,191.0,ZI,1.0,958,95.83333333333333,2,0
120,10386,N5D,196.0,SIA,3.0,813,81.0,3,1
119,10908,M3O,191.0,ZI,1.0,880,88.0,2,0
120,10757,M5F,191.0,ZI,1.0,853,85.33333333333333,4,0
119,10863,O5X,178.0,KA,1.0,908,90.83333333333333,3,0
120,11168,L3B,178.0,KII,3.0,865,84.5,7,0
120,11225,N9Z,199.0,AIN,4.0,850,85.0,5,0
119,10802,N4B,178.0,KI,2.0,877,86.5,7,0
120,11168,L2L,178.0,KKC,1.0,897,86.0,2,0
120,10755,M7K,196.0,SIA,3.0,853,79.66666666666667,3,1
120,10616,O7F,,,,0,57.333333333333336,3,0
120,10892,M7Q,190.0,PNE,3.0,918,90.33333333333333,4,0
119,10850,L8N,,,,840,84.0,1,0
119,10375,O2S,178.0,KBO,1.0,928,90.33333333333333,3,0
120,10247,N5O,178.0,KBO,1.0,913,91.33333333333333,3,0
120,10545,O1M,179.0,II,1.0,810,81.0,3,0
120,10525,M5U,190.0,PAW,3.0,808,-1.0,2,0
120,10683,Q1B,,,,795,75.66666666666667,4,0
120,10978,M4U,190.0,PNE,3.0,882,85.83333333333333,1,0
120,10837,M7Q,178.0,KY,2.0,785,78.5,3,0
120,11099,N4B,197.0,VSI,5.0,815,73.83333333333333,1,0
120,10824,N0C,178.0,KKU,1.0,843,82.0,3,0
119,11099,N3M,194.0,OTV,1.0,900,86.5,6,0
119,10410,M6L,191.0,ZI,1.0,902,85.66666666666667,4,0
119,10407,M1N,194.0,OD,1.0,958,95.16666666666667,2,0
120,10564,N2L,199.0,AIW,7.0,750,63.166666666666664,3,0
119,10542,L7W,191.0,ZI,1.0,968,94.83333333333333,3,0
120,10550,M5B,196.0,SIA,3.0,915,91.5,3,1
120,10492,M5K,,,,873,87.33333333333333,5,0
120,10383,L8N,191.0,ZI,1.0,912,91.16666666666667,2,0
120,10558,M5K,178.0,KSO,1.0,922,92.16666666666667,3,0
120,10530,O3D,178.0,KKU,1.0,838,83.83333333333333,4,0
119,10535,M4Z,194.0,OIR,1.0,873,87.33333333333333,4,0
120,10347,N4B,196.0,SIA,1.0,937,89.0,1,1
120,10852,N2U,194.0,OI,1.0,850,84.33333333333333,2,0
119,10698,N5I,194.0,OI,1.0,957,95.66666666666667,6,0
119,10599,N2D,,,,855,85.5,3,0
120,10262,L3T,199.0,AIY,5.0,780,75.83333333333333,1,0
120,10423,N3M,191.0,ZI,1.0,900,86.33333333333333,2,0
120,10379,N5M,196.0,SIA,3.0,875,86.5,3,1
119,10477,N2D,194.0,OPN,8.0,835,79.5,4,0
119,10702,M5O,191.0,ZI,1.0,937,92.33333333333333,2,0
120,10253,O3L,,,,792,79.16666666666667,3,0
120,10227,O1N,196.0,SIA,2.0,838,82.66666666666667,2,1
120,10213,M9O,178.0,KSO,1.0,938,93.83333333333333,2,0
120,10434,M6C,196.0,SIA,1.0,878,84.83333333333333,1,1
120,10874,N5X,194.0,OL,1.0,892,88.66666666666667,3,0
119,10988,N5Y,177.0,BIN,13.0,742,74.16666666666667,15,0
120,11061,M7W,194.0,OD,1.0,988,97.5,5,0
119,10814,L3B,,,,988,95.16666666666667,2,0
120,10681,M5S,178.0,KKU,1.0,845,84.16666666666667,2,0
120,10578,M7D,194.0,ON,2.0,897,88.16666666666667,3,0
119,10978,N3I,178.0,KSW,1.0,937,93.16666666666667,5,0
119,10250,O1O,196.0,SIA,3.0,837,81.83333333333333,3,1
119,10681,M1L,191.0,ZI,1.0,900,90.0,2,0
120,10896,M2W,,,,823,82.33333333333333,1,0
120,10220,M6N,178.0,KKW,1.0,822,82.16666666666667,3,0
119,11030,N5W,197.0,VNR,4.0,763,76.33333333333333,3,0
120,10302,M7N,,,,718,67.66666666666667,3,0
120,10913,N2T,178.0,KS,1.0,950,90.33333333333333,4,0
120,10469,Q2M,178.0,KSO,1.0,925,91.83333333333333,2,0
119,10851,M6K,194.0,ON,1.0,903,88.66666666666667,2,0
120,10971,L3C,194.0,OPA,3.0,798,78.83333333333333,6,0
119,10725,M6N,196.0,SIA,6.0,933,93.33333333333333,6,1
120,10757,M5F,196.0,SI,3.0,842,84.16666666666667,3,1
120,10881,Q7C,178.0,KKW,1.0,900,87.83333333333333,4,0
120,10557,M7M,196.0,SN,2.0,850,83.0,1,1
119,10669,O1O,196.0,SIA,1.0,908,87.16666666666667,1,1
120,10851,M6I,191.0,ZI,1.0,920,92.0,3,0
120,10228,M7M,196.0,SIA,2.0,827,80.66666666666667,2,1
120,10666,M8M,,,,757,71.0,5,0
120,10673,O0K,197.0,VSI,1.0,750,75.0,2,0
120,10423,M7I,191.0,ZI,1.0,920,91.83333333333333,2,0
120,10719,N3Q,194.0,OI,1.0,893,88.66666666666667,2,0
120,10567,M4S,191.0,ZI,1.0,892,87.16666666666667,2,0
120,10237,M2D,178.0,KPR,1.0,900,90.0,3,0
119,10702,M5O,191.0,ZI,1.0,867,82.33333333333333,2,0
120,10926,M6M,,,,793,79.33333333333333,3,0
120,10523,O6Q,179.0,II,1.0,868,83.83333333333333,3,0
120,10750,M4Z,194.0,OD,1.0,930,92.16666666666667,2,0
120,11141,N3M,,,,888,87.0,2,0
120,10302,M7N,194.0,OOS,1.0,850,85.0,3,0
120,10927,M2I,191.0,ZI,1.0,872,87.16666666666667,2,0
120,10818,M6X,196.0,SIA,2.0,877,87.66666666666667,2,1
120,10290,O2U,194.0,OI,2.0,907,89.33333333333333,4,0
119,10673,O0H,196.0,SIA,3.0,838,83.5,3,1
120,11158,N5S,,,,888,88.33333333333333,3,0
120,10303,M5I,190.0,PAV,5.0,822,82.16666666666667,2,0
120,10302,M7N,178.0,KBO,1.0,953,94.33333333333333,3,0
120,10492,M5K,196.0,SI,5.0,910,90.5,5,1
119,10504,O3U,194.0,OST,5.0,917,91.66666666666667,6,0
119,10458,N3M,196.0,SIA,1.0,917,89.66666666666667,1,1
120,10442,N5X,196.0,SIA,1.0,883,86.16666666666667,1,1
120,10434,M6D,194.0,OE,1.0,795,79.5,2,0
120,10215,M0D,196.0,SI,1.0,860,86.0,1,1
120,10528,O2H,178.0,KI,1.0,903,90.33333333333333,3,0
120,10722,O8T,196.0,SI,1.0,862,85.33333333333333,1,1
120,10528,O2M,178.0,KY,1.0,938,92.66666666666667,5,0
120,10725,M6N,194.0,OXV,2.0,918,90.16666666666667,5,0
120,10709,M9F,196.0,SI,1.0,838,82.33333333333333,1,1
120,10302,M7N,,,,618,61.833333333333336,1,0
120,10725,M6N,197.0,VSI,3.0,750,75.0,1,0
120,10458,N3M,,,,772,77.16666666666667,3,0
119,11159,N0N,194.0,OXV,1.0,895,88.16666666666667,7,0
119,10222,N9Z,191.0,ZI,1.0,893,88.66666666666667,5,0
120,10755,M8H,191.0,ZI,1.0,828,82.83333333333333,2,0
120,11238,M9T,194.0,OI,1.0,863,86.33333333333333,2,0
119,10827,L1I,178.0,KI,3.0,875,87.5,4,0
120,10442,N6N,,,,753,75.33333333333333,4,0
120,10600,N2X,178.0,KKW,2.0,872,87.16666666666667,1,0
120,10981,L1L,,,,973,96.66666666666667,1,0
119,10650,M5Z,178.0,KKW,4.0,940,93.33333333333333,1,0
120,11067,L5Q,199.0,AIN,4.0,770,76.16666666666667,2,0
120,10896,M2W,196.0,SI,1.0,813,81.33333333333333,1,1
120,11185,O6B,,,,825,81.16666666666667,2,0
120,10316,M5A,178.0,KKW,4.0,892,87.16666666666667,5,0
120,11237,L1D,191.0,ZI,1.0,817,81.66666666666667,3,0
120,10582,M5Q,,,,660,66.0,2,0
119,10594,M9S,,,,853,78.33333333333333,3,0
120,10641,M1T,199.0,AIN,1.0,845,84.5,2,0
119,10935,N3I,194.0,OXV,2.0,840,69.33333333333333,4,0
119,10578,M4Q,194.0,OPT,6.0,813,80.33333333333333,5,0
120,10443,O9Y,177.0,BIN,1.0,778,75.33333333333333,3,0
120,10793,L8N,196.0,SI,2.0,978,97.0,2,1
120,10699,M1M,191.0,ZI,1.0,910,90.33333333333333,3,0
120,10611,M3S,178.0,KSO,1.0,922,92.16666666666667,2,0
120,10442,N6O,191.0,ZI,1.0,862,86.16666666666667,3,0
119,10346,O7B,194.0,ON,1.0,952,94.33333333333333,5,0
120,10709,M9F,178.0,KKU,1.0,885,86.66666666666667,3,0
119,10462,M6O,191.0,ZI,2.0,933,91.16666666666667,5,0
120,10709,M9F,178.0,KSO,1.0,982,96.66666666666667,3,0
120,11236,M6N,196.0,SIA,3.0,927,92.66666666666667,3,1
120,10996,N9A,194.0,OI,1.0,878,87.83333333333333,4,0
120,10237,M2D,191.0,ZI,1.0,918,91.83333333333333,3,0
120,10913,N2T,194.0,OSD,1.0,835,82.0,3,0
120,11011,M8U,191.0,ZI,1.0,937,93.16666666666667,2,0
120,10272,M5X,196.0,SIA,2.0,845,82.33333333333333,2,1
119,10738,M7I,179.0,IPS,3.0,928,91.83333333333333,5,0
120,10637,M1D,191.0,ZI,1.0,858,85.83333333333333,2,0
120,10474,M7I,191.0,ZI,1.0,958,94.0,4,0
120,10603,M9U,196.0,SI,3.0,803,80.33333333333333,3,1
119,10977,L1L,,,,950,94.5,4,0
120,11024,M0D,,,,930,92.33333333333333,4,0
120,10837,N0W,190.0,PAW,4.0,798,77.16666666666667,3,0
120,10729,L3K,196.0,SIA,2.0,805,79.0,2,1
120,10874,N5H,178.0,KKV,1.0,828,80.66666666666667,4,0
120,10385,N3I,191.0,ZI,3.0,928,89.0,2,0
119,10658,L8I,191.0,ZI,1.0,950,95.0,8,0
120,11065,Q5Q,194.0,OD,2.0,927,16.5,1,0
120,11166,M5K,196.0,SF,6.0,772,66.33333333333333,5,1
120,10713,O2S,191.0,ZI,1.0,988,98.83333333333333,3,0
120,10696,M1L,196.0,SIA,1.0,863,84.66666666666667,1,1
120,10410,M6L,190.0,PIM,1.0,900,86.5,3,0
120,10720,M1N,178.0,KI,1.0,868,86.83333333333333,2,0
120,10423,N5O,,,,937,92.33333333333333,4,0
120,10937,M5D,194.0,OL,1.0,898,89.83333333333333,3,0
119,10233,L1M,196.0,SI,6.0,828,80.33333333333333,6,1
119,10934,M2N,,,,790,79.0,3,0
