GEND,SCHOOL,ZIP3,CONFUNI,CONFPR,CONFCHOIC,WAVERG2,AVG,PREF,ACCEPTED
119,11145,O7B,178.0,KKU,1.0,893,89.0,2,0
120,10393,O9O,191.0,ZI,4.0,807,13.833333333333334,3,0
120,11145,O7B,,,,925,90.5,2,0
119,11145,O7B,178.0,KSW,1.0,963,95.33333333333333,4,0
119,11145,O7B,178.0,KSW,1.0,960,94.0,4,0
120,10459,O3M,181.0,YIA,5.0,832,67.0,2,0
120,11145,O7B,194.0,OAP,1.0,945,91.83333333333333,2,0
120,11086,N3K,194.0,OIR,2.0,938,91.83333333333333,4,0
119,10302,M7N,178.0,KA,1.0,918,91.5,2,0
119,11145,,194.0,OTV,1.0,970,95.83333333333333,4,0
120,10905,O3D,196.0,SIA,1.0,867,86.66666666666667,1,1
120,10364,L8D,193.0,RUI,2.0,757,74.16666666666667,1,0
120,10579,Q1K,191.0,ZI,1.0,888,88.0,2,0
120,10611,M1S,178.0,KI,1.0,922,91.0,2,0
119,10821,M8D,191.0,ZI,2.0,928,89.83333333333333,5,0
120,11140,N4I,194.0,OSF,6.0,805,80.5,7,0
120,10211,M7B,196.0,SI,1.0,885,88.5,1,1
120,10619,O3W,178.0,KSW,1.0,928,92.66666666666667,8,0
120,10990,L0L,191.0,ZI,1.0,975,97.5,2,0
120,11017,M5U,190.0,PIC,1.0,803,78.5,4,0
120,11136,M6K,,,,907,90.5,3,0
120,11095,M4Q,191.0,ZI,1.0,848,84.83333333333333,4,0
120,11135,N2T,175.0,GNH,3.0,895,87.83333333333333,7,0
119,11135,M4S,178.0,KBO,2.0,872,86.5,3,0
119,11120,N2W,194.0,OL,1.0,937,91.83333333333333,3,0
120,10345,N5X,,,,872,87.16666666666667,2,0
119,11120,N2W,194.0,OAP,1.0,888,87.0,9,0
120,11148,M6D,190.0,PAV,2.0,865,86.5,1,0
120,11112,,,,,840,84.0,2,0
120,10215,M0C,196.0,SI,1.0,912,91.16666666666667,1,1
119,11100,M6D,196.0,SI,1.0,910,91.0,1,1
119,10628,O1I,197.0,VID,1.0,908,89.5,6,0
120,10996,N9A,,,,902,88.0,4,0
120,11017,M5U,,,,787,78.66666666666667,3,0
119,10573,O1N,196.0,SNO,2.0,817,81.66666666666667,2,0
120,11024,M0L,196.0,SIA,2.0,850,85.0,2,1
120,10996,N9A,194.0,OD,1.0,940,91.5,5,0
120,10682,O4Q,197.0,VSI,3.0,885,88.5,2,0
120,10996,N9A,178.0,KSI,5.0,935,91.0,4,0
120,11145,O7B,194.0,OHY,2.0,905,87.33333333333333,3,0
120,10250,O1N,196.0,SIA,1.0,845,84.5,1,1
120,10705,O1H,179.0,II,1.0,900,89.5,2,0
120,11059,M1S,192.0,TII,1.0,867,84.33333333333333,2,0
119,11043,M8H,178.0,KBO,1.0,935,91.16666666666667,4,0
119,10341,M6N,196.0,SIA,1.0,942,93.66666666666667,1,1
120,10382,L1D,191.0,ZI,1.0,912,90.0,2,0
120,10213,M0C,196.0,SAA,3.0,913,89.66666666666667,2,0
120,11213,L7W,193.0,RIH,3.0,870,83.66666666666667,6,0
119,10253,O1C,178.0,KS,6.0,882,86.33333333333333,3,0
120,10758,L8L,196.0,SIA,1.0,950,95.0,1,1
120,10277,L1I,194.0,OIR,1.0,897,89.66666666666667,3,0
119,10302,M7N,191.0,ZI,2.0,870,85.16666666666667,5,0
120,11209,M9T,191.0,ZP,10.0,922,86.33333333333333,7,0
119,10528,O2M,197.0,VNQ,2.0,820,82.0,1,0
119,10920,O9N,179.0,II,7.0,812,81.16666666666667,5,0
119,11091,M6O,196.0,SA,2.0,887,87.5,1,0
120,10331,M6O,,,,917,90.66666666666667,3,0
120,10268,O3N,178.0,KI,2.0,895,89.0,3,0
120,10598,M0D,196.0,SIA,1.0,930,91.33333333333333,1,1
119,11102,M4U,178.0,KSO,2.0,920,90.66666666666667,5,0
120,11225,N9Y,191.0,ZI,1.0,893,88.66666666666667,2,0
119,10768,O1I,,,,907,90.66666666666667,2,0
120,10282,M7Z,196.0,SIA,3.0,838,82.66666666666667,3,1
120,10530,O3D,190.0,PSK,1.0,857,60.166666666666664,2,0
119,10598,M0D,196.0,SQP,2.0,892,84.0,3,0
120,11145,O7B,,,,775,72.0,4,0
120,10628,O1I,178.0,KKC,1.0,918,91.0,5,0
120,11145,O7B,178.0,KPR,3.0,900,90.0,2,0
120,11145,O7B,194.0,OIR,1.0,915,91.5,3,0
120,11145,O7B,196.0,ST,1.0,818,81.83333333333333,3,0
120,11145,O7B,,,,0,52.0,1,0
120,11145,O7H,196.0,SI,2.0,878,87.83333333333333,2,1
120,11145,O7B,194.0,OI,3.0,923,90.16666666666667,4,0
120,10213,M0I,178.0,KKV,1.0,868,86.83333333333333,3,0
119,11145,O7B,178.0,KS,3.0,982,95.66666666666667,5,0
119,11145,O7B,196.0,SIA,2.0,885,85.83333333333333,2,1
120,10758,L8L,,,,838,83.83333333333333,4,0
120,11219,O4B,190.0,PSK,2.0,857,85.66666666666667,1,0
120,10390,M4A,194.0,OIR,1.0,955,95.5,3,0
120,10597,O7I,181.0,YIB,1.0,767,62.0,3,0
120,11145,O7B,194.0,OSI,4.0,822,82.16666666666667,1,0
119,10625,O7L,178.0,KIS,1.0,858,84.66666666666667,3,0
119,10705,O1H,178.0,KA,5.0,893,89.33333333333333,2,0
120,10341,M6N,196.0,SIA,1.0,838,83.83333333333333,1,1
120,10301,M6M,191.0,ZI,1.0,908,90.0,3,0
120,11245,M9X,196.0,SI,1.0,923,91.5,1,1
120,10331,M6O,190.0,PAW,3.0,835,83.5,2,0
120,10434,M6B,178.0,KIN,3.0,813,78.16666666666667,2,0
120,11168,L2N,196.0,SN,7.0,823,80.16666666666667,4,0
120,11026,N0C,194.0,OIR,2.0,945,92.66666666666667,3,0
120,10434,M6C,190.0,PIC,2.0,922,91.66666666666667,1,0
120,10434,M6C,,,,937,93.66666666666667,3,0
120,10808,O3O,196.0,SNO,3.0,788,78.83333333333333,3,0
119,10905,O3B,,,,892,59.166666666666664,3,0
120,11090,M5K,191.0,ZI,1.0,947,93.16666666666667,3,0
120,10277,L8L,191.0,ZI,2.0,898,89.83333333333333,3,0
120,10331,M6O,196.0,SIA,1.0,945,93.33333333333333,1,1
119,10319,,,,,728,60.833333333333336,2,0
120,11135,N2X,,,,863,86.33333333333333,2,0
120,11145,O7B,,,,848,84.83333333333333,1,0
120,11233,M4Q,194.0,OL,1.0,917,91.66666666666667,3,0
119,11145,O7B,194.0,OPX,4.0,925,89.0,2,0
119,11239,N5H,191.0,ZI,3.0,945,94.0,5,0
119,11135,N2U,,,,948,92.66666666666667,2,0
120,10345,N3O,196.0,SIA,1.0,878,87.33333333333333,1,1
120,11130,M5D,194.0,OOS,1.0,922,92.16666666666667,2,0
120,11145,O7B,,,,0,70.33333333333333,3,0
120,10284,N3K,194.0,OD,1.0,957,95.0,4,0
120,10335,M1T,196.0,SIA,2.0,895,88.0,2,1
120,10297,O8B,178.0,KY,1.0,957,95.66666666666667,2,0
120,11140,N4I,194.0,OS,1.0,852,85.16666666666667,4,0
120,11120,N2W,194.0,OS,2.0,913,91.33333333333333,4,0
120,11157,N3O,190.0,PAW,5.0,912,91.16666666666667,3,0
120,11236,M6N,194.0,OIR,1.0,903,90.33333333333333,4,0
120,11120,N2W,178.0,KSI,6.0,863,86.33333333333333,4,0
120,10775,M1S,196.0,SI,1.0,913,91.33333333333333,1,1
120,11057,M4T,178.0,KBO,1.0,962,94.66666666666667,3,0
120,10775,M4N,,,,812,81.16666666666667,2,0
120,10880,L8L,191.0,ZI,1.0,927,91.83333333333333,3,0
120,11057,M4Q,181.0,YIA,1.0,907,90.16666666666667,3,0
119,10370,O6Y,179.0,II,1.0,923,92.0,3,0
120,11145,O7B,194.0,OAP,1.0,917,89.66666666666667,4,0
120,10550,M5B,,,,918,87.66666666666667,1,0
120,10758,L8M,191.0,ZI,3.0,977,94.33333333333333,1,0
120,10245,M7B,178.0,KKU,1.0,920,92.0,2,0
119,11145,O7B,194.0,OD,1.0,935,90.66666666666667,4,0
120,11219,O4B,196.0,SI,2.0,872,87.16666666666667,2,1
120,10335,M1T,178.0,KKU,1.0,883,87.33333333333333,2,0
120,10924,L1L,191.0,ZI,3.0,913,91.33333333333333,1,0
119,11219,O4B,192.0,TIH,5.0,728,71.33333333333333,1,0
120,10335,M4D,196.0,SIA,1.0,882,88.16666666666667,1,1
119,11219,O4B,196.0,SI,2.0,872,84.66666666666667,2,1
120,10266,M0O,190.0,PAI,1.0,840,78.33333333333333,6,0
120,11217,M6C,,,,0,53.0,3,0
120,11059,M4N,,,,817,81.0,1,0
119,11030,N5H,191.0,ZI,1.0,912,90.16666666666667,6,0
120,10403,L3N,199.0,AIP,1.0,880,87.0,3,0
119,10248,M8B,178.0,KPR,1.0,935,93.16666666666667,2,0
120,10316,M5A,196.0,SIA,2.0,903,90.16666666666667,2,1
120,10410,M6M,194.0,OD,1.0,953,95.33333333333333,2,0
120,11024,M0C,196.0,SI,1.0,863,83.83333333333333,1,1
120,10387,N5O,191.0,ZI,1.0,928,92.33333333333333,2,0
120,10302,M7N,193.0,REA,14.0,838,83.83333333333333,1,0
120,10722,O1O,196.0,SNO,1.0,782,74.66666666666667,2,0
120,10670,M4T,191.0,ZI,1.0,955,95.16666666666667,2,0
120,10335,M4D,178.0,KA,1.0,912,91.16666666666667,3,0
119,11229,N2T,197.0,VF,3.0,988,98.66666666666667,1,0
120,11164,,178.0,KSN,1.0,887,88.66666666666667,4,0
119,10924,L8S,,,,850,84.83333333333333,3,0
120,11140,N4I,194.0,OJA,5.0,813,81.33333333333333,4,0
120,10233,,,,,840,83.83333333333333,2,0
119,11164,M3S,194.0,OS,1.0,872,86.33333333333333,4,0
120,10381,O0F,193.0,REA,1.0,770,77.0,2,0
120,10975,O5T,191.0,ZI,3.0,872,86.83333333333333,4,0
120,11120,N2W,194.0,OSF,7.0,840,84.0,5,0
119,11023,O2H,178.0,KKW,1.0,948,93.16666666666667,3,0
119,10653,L5L,191.0,ZI,3.0,868,86.83333333333333,1,0
120,11120,N2W,178.0,KZE,2.0,857,85.66666666666667,5,0
120,10775,M8O,196.0,SIA,2.0,875,87.5,2,1
120,10700,O5L,196.0,SIA,1.0,935,93.33333333333333,1,1
119,11194,M5F,178.0,KBO,3.0,942,93.5,5,0
120,10350,M4U,178.0,KSO,1.0,992,98.66666666666667,3,0
120,10350,N3O,191.0,ZI,2.0,980,96.66666666666667,3,0
120,10331,M6O,178.0,KKC,1.0,893,84.5,3,0
120,10372,N4M,,,,705,56.333333333333336,4,0
120,10429,M7I,199.0,AIW,1.0,775,77.5,6,0
120,10233,M0X,191.0,ZI,2.0,897,88.33333333333333,3,0
120,10670,M4S,191.0,ZI,1.0,865,86.5,5,0
120,10771,M1T,196.0,SNO,1.0,817,81.5,2,0
120,10506,O0C,177.0,BIC,5.0,887,86.83333333333333,1,0
120,10343,L3K,178.0,KPR,1.0,927,91.5,5,0
120,10429,M7I,194.0,OIR,1.0,937,92.16666666666667,3,0
119,11145,O7B,194.0,OD,1.0,940,91.66666666666667,4,0
119,11036,M2S,179.0,II,2.0,943,94.33333333333333,3,0
120,10416,M5H,191.0,ZI,1.0,983,16.666666666666668,3,0
120,10819,O1I,196.0,SIA,1.0,893,89.33333333333333,1,1
120,10390,M4A,196.0,SI,5.0,852,85.16666666666667,5,1
120,10410,M6K,196.0,SIA,3.0,873,86.33333333333333,3,1
119,10302,M7N,194.0,ON,1.0,913,90.83333333333333,3,0
120,11245,M9X,196.0,SI,1.0,858,84.66666666666667,1,1
119,10924,L1I,191.0,ZI,1.0,990,99.0,4,0
120,11168,M5C,199.0,AIY,6.0,800,79.33333333333333,8,0
120,10954,L0L,191.0,ZI,2.0,950,95.0,1,0
120,10724,O4Q,175.0,GPB,2.0,813,80.66666666666667,9,0
120,10370,O6Y,179.0,II,2.0,918,90.16666666666667,3,0
120,11181,O8T,178.0,KKW,1.0,932,92.16666666666667,2,0
120,11057,M4Q,191.0,ZA,1.0,878,83.5,4,0
120,10850,L8N,,,,892,87.16666666666667,1,0
119,10250,O1O,179.0,II,4.0,903,90.33333333333333,2,0
120,11225,N0C,,,,882,85.5,1,0
120,10266,M0O,,,,872,85.5,3,0
120,10282,M7Z,196.0,SIA,3.0,918,90.16666666666667,3,1
120,11245,M9U,,,,818,77.33333333333333,2,0
119,11245,M9X,196.0,SNO,1.0,813,78.83333333333333,1,0
120,10331,M6O,178.0,KIS,3.0,922,91.16666666666667,2,0
120,10528,O2D,196.0,SIA,4.0,882,88.16666666666667,4,1
120,11205,M1S,178.0,KPR,1.0,935,92.83333333333333,4,0
120,11059,M1S,196.0,SIA,2.0,907,90.66666666666667,2,1
119,10881,Q7C,196.0,SIA,1.0,892,88.5,1,1
120,11185,O1L,177.0,BIH,1.0,932,89.0,2,0
120,10898,M5H,191.0,ZI,1.0,902,88.66666666666667,4,0
120,10299,O2F,196.0,SIA,3.0,857,83.66666666666667,3,1
120,10270,N2D,194.0,OPA,2.0,877,85.83333333333333,7,0
120,10550,M5B,192.0,TIH,7.0,807,78.16666666666667,3,0
120,10324,M7Y,196.0,SIA,4.0,850,15.166666666666666,4,1
120,10452,O1B,197.0,VSI,2.0,912,91.16666666666667,3,0
119,10540,M0Q,196.0,SIA,1.0,892,89.16666666666667,1,1
120,10402,L3X,196.0,SI,2.0,900,89.16666666666667,2,1
120,10817,O1N,199.0,AIN,1.0,885,86.5,3,0
120,11000,M7D,194.0,OD,1.0,925,92.0,5,0
120,10356,M0L,178.0,KSO,1.0,960,94.33333333333333,4,0
120,11062,M8F,196.0,SIA,3.0,925,88.66666666666667,3,1
119,11030,N5O,191.0,ZI,2.0,962,94.33333333333333,3,0
120,10372,N7T,194.0,OS,1.0,957,93.66666666666667,3,0
119,10341,M6N,193.0,RII,3.0,867,86.33333333333333,2,0
120,10711,M0X,178.0,KIS,1.0,880,88.0,5,0
120,10455,M2C,196.0,SNO,2.0,788,72.33333333333333,2,0
119,10682,O4T,179.0,IP,3.0,863,86.33333333333333,1,0
119,10381,O0H,177.0,BIB,3.0,815,80.5,1,0
120,11245,M9U,196.0,SI,3.0,940,92.66666666666667,3,1
119,11066,O1Q,178.0,KI,1.0,945,92.16666666666667,3,0
119,10402,L3U,,,,850,85.0,3,0
120,10266,M5F,194.0,OD,1.0,942,93.16666666666667,4,0
120,10301,M6M,196.0,SIA,2.0,910,89.83333333333333,2,1
120,11023,O2M,197.0,VFN,1.0,948,93.5,5,0
119,10898,M5H,191.0,ZI,1.0,922,90.0,3,0
120,10505,M1S,178.0,KAP,1.0,950,92.16666666666667,2,0
120,10329,M7Q,178.0,KBO,1.0,942,92.66666666666667,3,0
120,10680,M0B,196.0,SIA,1.0,913,86.33333333333333,1,1
119,11030,N5U,,,,928,92.66666666666667,2,0
120,10313,,,,,915,89.0,3,0
119,10538,Q5S,196.0,SI,1.0,925,91.0,1,1
120,10402,L3L,,,,858,82.16666666666667,2,0
120,10662,L8N,193.0,REI,4.0,927,88.66666666666667,3,0
120,10884,Q3O,179.0,II,1.0,947,94.66666666666667,3,0
120,11061,M7W,196.0,SNO,2.0,820,82.0,2,0
120,11226,M7S,199.0,AIA,6.0,783,71.5,2,0
119,11082,N3K,190.0,PWX,13.0,862,85.66666666666667,2,0
120,10338,M7D,194.0,OD,1.0,975,96.83333333333333,4,0
120,10372,N0C,191.0,ZI,2.0,925,92.5,3,0
120,10302,M7N,196.0,SIA,1.0,922,91.83333333333333,1,1
120,11158,N5O,191.0,ZI,5.0,957,94.0,8,0
120,10896,M2W,196.0,SIA,3.0,870,85.5,3,1
120,10223,N0B,194.0,OIR,1.0,913,89.33333333333333,3,0
120,10223,M6S,179.0,II,2.0,898,85.0,4,0
120,10316,M6S,196.0,SQP,1.0,880,86.66666666666667,4,0
120,10223,I5Y,191.0,ZH,1.0,847,84.66666666666667,2,0
120,10223,M7L,193.0,RPG,11.0,825,81.33333333333333,9,0
120,10223,M7I,,,,870,85.33333333333333,4,0
120,10223,M7M,194.0,OXV,8.0,865,86.5,2,0
119,10235,N3I,,,,950,93.5,7,0
120,10223,M7L,178.0,KSI,5.0,883,86.0,4,0
120,11038,O7D,196.0,SIA,4.0,893,85.33333333333333,4,1
120,11236,M6N,196.0,SIA,2.0,895,87.5,2,1
120,10223,M6M,,,,858,84.0,5,0
119,10223,M1Q,194.0,OHY,3.0,873,85.16666666666667,6,0
120,10407,M0Z,178.0,KBO,2.0,960,95.83333333333333,4,0
119,10223,M4U,178.0,KI,2.0,883,88.33333333333333,4,0
120,10831,L9Q,178.0,KKW,1.0,918,89.0,2,0
120,10567,M4S,176.0,MKK,1.0,925,74.66666666666667,4,0
120,10233,L1M,,,,972,96.33333333333333,3,0
120,10215,M0C,196.0,SIA,1.0,848,70.83333333333333,1,1
120,10996,N9A,194.0,ON,1.0,952,92.83333333333333,4,0
120,11049,M9H,179.0,II,1.0,888,86.83333333333333,5,0
120,10898,M5H,191.0,ZI,1.0,905,90.16666666666667,4,0
120,11145,,194.0,OI,1.0,927,92.0,2,0
119,10598,M0D,175.0,GPC,3.0,812,79.66666666666667,1,0
120,10759,O3A,178.0,KA,1.0,978,96.66666666666667,3,0
120,10410,M6L,190.0,PHH,5.0,817,80.0,2,0
119,10341,M6N,196.0,SIA,1.0,952,94.66666666666667,1,1
119,11030,N5W,196.0,SIA,2.0,895,87.0,2,1
120,11145,O7B,196.0,SI,2.0,870,87.0,2,1
120,11145,O7B,,,,892,88.33333333333333,1,0
120,11145,,194.0,ON,1.0,893,87.5,4,0
120,10586,Q1O,191.0,ZI,1.0,903,90.33333333333333,2,0
119,10540,M0Q,196.0,SI,1.0,962,95.83333333333333,1,1
120,10413,O1B,,,,910,90.33333333333333,1,0
120,10297,O1N,197.0,VSI,2.0,853,85.33333333333333,3,0
119,10996,N9A,194.0,OD,1.0,970,94.5,2,0
120,10384,M1T,179.0,II,1.0,835,83.0,3,0
120,11042,L1B,,,,865,15.5,2,0
120,10238,L9Q,193.0,RNA,6.0,802,80.16666666666667,5,0
120,10238,L9Q,199.0,AID,6.0,815,81.5,3,0
120,10341,M6N,196.0,SI,1.0,882,88.16666666666667,1,1
119,10404,N6N,,,,960,96.0,4,0
120,10288,M0O,196.0,SI,1.0,895,86.83333333333333,1,1
120,10680,M9U,177.0,BIN,4.0,783,78.33333333333333,1,0
119,10618,L3H,194.0,OS,1.0,928,92.66666666666667,3,0
120,10606,M1S,179.0,II,2.0,922,92.16666666666667,3,0
120,10841,N5M,193.0,RNI,4.0,888,71.5,3,0
120,11232,L8I,193.0,RUI,2.0,877,86.33333333333333,3,0
119,10343,L3K,196.0,SEP,1.0,900,89.83333333333333,6,0
119,10215,M0D,196.0,SIA,2.0,868,86.83333333333333,2,1
119,11026,N9A,178.0,KY,1.0,942,93.0,2,0
119,11194,M5H,178.0,KY,1.0,943,93.5,6,0
120,10341,M6N,194.0,OD,1.0,913,91.33333333333333,3,0
120,11236,M6W,175.0,GPC,5.0,843,79.16666666666667,2,0
119,11026,N9W,178.0,KHN,6.0,838,80.16666666666667,3,0
120,10242,M7Y,196.0,SNO,4.0,810,80.5,4,0
120,10413,O1B,191.0,ZI,1.0,955,95.16666666666667,2,0
120,10755,N5O,191.0,ZI,2.0,938,92.33333333333333,4,0
120,11145,O7B,,,,843,84.33333333333333,1,0
120,10461,L3K,181.0,YIA,5.0,787,77.83333333333333,1,0
120,11073,N2X,194.0,OPX,1.0,843,84.33333333333333,2,0
120,11120,N2W,178.0,KBO,4.0,908,90.83333333333333,7,0
120,10687,O2U,,,,793,79.33333333333333,3,0
120,11048,N2H,179.0,II,1.0,910,90.0,4,0
120,10962,M2D,181.0,YIA,1.0,835,82.33333333333333,3,0
120,10413,O1F,197.0,VSI,8.0,848,82.0,2,0
120,10387,N5F,191.0,ZN,2.0,863,86.33333333333333,4,0
119,11066,O1Q,178.0,KI,1.0,945,93.33333333333333,2,0
120,10250,O1O,199.0,AIU,1.0,813,80.16666666666667,3,0
120,10412,M1C,181.0,YIK,1.0,867,84.83333333333333,3,0
119,10922,M7M,178.0,KKU,1.0,930,92.0,3,0
120,10429,M7I,178.0,KSO,1.0,937,91.16666666666667,2,0
120,10412,M1C,191.0,ZI,1.0,943,93.0,2,0
120,10731,M0H,191.0,ZI,2.0,945,92.33333333333333,1,0
120,10372,N0D,,,,887,88.66666666666667,3,0
119,10567,M4S,191.0,ZI,2.0,930,93.0,1,0
120,10874,N5H,179.0,II,6.0,902,89.16666666666667,8,0
120,10436,M3T,196.0,SIA,1.0,938,92.83333333333333,1,1
119,10801,,,,,945,91.66666666666667,3,0
120,11000,M4U,191.0,ZI,1.0,897,87.33333333333333,4,0
120,10384,M3N,196.0,SIA,1.0,877,83.5,1,1
119,10440,N6N,179.0,IP,5.0,910,87.66666666666667,6,0
120,10384,M3N,196.0,SIA,1.0,868,86.83333333333333,1,1
120,10384,M1S,196.0,SIA,5.0,905,90.5,5,1
120,11164,,193.0,REI,7.0,770,76.0,2,0
119,11164,,194.0,OOS,1.0,858,85.83333333333333,9,0
120,10571,O1F,196.0,SI,1.0,895,85.83333333333333,1,1
120,10571,O1F,178.0,KKU,1.0,937,93.66666666666667,2,0
119,10612,Q8B,178.0,KY,1.0,987,97.16666666666667,3,0
120,10417,L5B,199.0,AIW,3.0,780,14.0,1,0
119,11030,N5W,191.0,ZI,1.0,913,89.33333333333333,7,0
120,10231,M5H,,,,787,61.166666666666664,4,0
120,10231,M5H,194.0,ON,1.0,922,90.33333333333333,3,0
120,10231,M5H,,,,925,90.16666666666667,3,0
120,10231,M5H,191.0,ZI,1.0,877,87.66666666666667,3,0
120,10231,M5H,,,,940,91.33333333333333,5,0
120,10231,M5H,179.0,IPS,2.0,938,90.66666666666667,7,0
120,10231,M5H,179.0,II,4.0,917,90.16666666666667,5,0
