GEND,SCHOOL,CONFUNI,CONFCHOIC,WAVERG2,AVG,PREF,ACCEPTED
120,11219,178.0,3.0,932,93.16666666666667,4,0
120,10917,191.0,1.0,848,84.33333333333333,3,0
119,10383,191.0,4.0,880,88.0,6,0
120,10532,178.0,3.0,952,95.16666666666667,2,0
120,11168,191.0,1.0,958,95.33333333333333,4,0
119,10580,178.0,1.0,945,93.83333333333333,2,0
120,11090,196.0,4.0,813,68.5,4,1
120,10324,193.0,1.0,830,15.166666666666666,4,0
119,10990,178.0,1.0,930,93.0,3,0
120,10528,178.0,1.0,890,87.66666666666667,3,0
120,10235,196.0,1.0,842,84.16666666666667,1,1
119,10516,178.0,1.0,933,91.33333333333333,2,0
120,10313,194.0,1.0,927,92.0,4,0
119,10234,196.0,2.0,948,93.66666666666667,2,1
119,10917,191.0,1.0,895,87.16666666666667,3,0
119,10711,178.0,3.0,867,84.16666666666667,2,0
120,11238,196.0,1.0,885,88.5,2,0
119,11043,191.0,1.0,912,88.16666666666667,3,0
119,10845,191.0,1.0,930,91.16666666666667,3,0
119,11140,178.0,1.0,928,92.83333333333333,4,0
119,10383,191.0,1.0,918,90.66666666666667,2,0
119,10356,196.0,1.0,828,81.33333333333333,1,1
120,10917,191.0,3.0,917,91.66666666666667,2,0
120,10611,196.0,1.0,953,95.33333333333333,1,1
120,11094,196.0,1.0,863,86.33333333333333,1,1
119,10335,178.0,1.0,907,90.5,3,0
120,11199,178.0,3.0,957,95.66666666666667,2,0
120,11199,196.0,1.0,792,79.16666666666667,1,0
119,10277,190.0,5.0,820,79.66666666666667,4,0
120,10331,196.0,1.0,837,70.33333333333333,2,0
120,10628,190.0,5.0,782,78.16666666666667,1,0
119,11149,190.0,1.0,805,79.5,4,0
120,10348,196.0,1.0,905,90.0,1,1
120,10562,193.0,6.0,742,73.33333333333333,2,0
120,10313,181.0,8.0,793,76.66666666666667,6,0
120,10264,191.0,2.0,890,88.66666666666667,3,0
120,10218,196.0,2.0,817,80.83333333333333,2,1
120,11199,193.0,4.0,842,84.16666666666667,3,0
119,11140,178.0,1.0,963,95.16666666666667,3,0
120,10648,196.0,3.0,882,80.0,3,1
119,10750,196.0,2.0,958,94.66666666666667,2,1
119,10429,178.0,2.0,903,89.5,3,0
120,10324,199.0,5.0,798,15.0,1,0
120,10258,196.0,1.0,803,14.333333333333334,1,1
120,10258,181.0,5.0,787,14.666666666666666,3,0
120,10387,191.0,1.0,903,90.33333333333333,4,0
120,10498,178.0,1.0,873,87.33333333333333,4,0
120,10229,196.0,1.0,817,68.5,1,1
120,11148,190.0,1.0,843,84.33333333333333,3,0
120,10451,178.0,1.0,887,88.0,2,0
120,10324,196.0,6.0,847,15.833333333333334,6,1
119,10771,199.0,1.0,938,93.5,2,0
119,11148,196.0,9.0,817,69.0,10,0
120,10264,181.0,1.0,930,93.0,3,0
119,11024,196.0,3.0,953,95.16666666666667,3,1
120,10771,191.0,1.0,943,93.5,2,0
120,10363,194.0,1.0,987,98.66666666666667,3,0
119,10273,194.0,2.0,918,91.83333333333333,4,0
120,10327,178.0,3.0,888,88.83333333333333,2,0
120,10448,194.0,2.0,763,76.33333333333333,1,0
119,11168,191.0,1.0,950,94.5,2,0
120,10383,196.0,3.0,872,85.16666666666667,3,1
120,10428,196.0,3.0,923,15.833333333333334,3,1
120,10375,191.0,1.0,993,98.66666666666667,2,0
120,10722,179.0,4.0,870,86.33333333333333,2,0
120,10234,191.0,1.0,925,92.5,2,0
120,10516,196.0,2.0,922,83.66666666666667,2,1
120,10215,175.0,1.0,897,87.66666666666667,2,0
119,10215,196.0,2.0,873,84.66666666666667,2,1
120,11149,178.0,1.0,882,88.16666666666667,3,0
120,10247,196.0,2.0,857,82.5,2,1
119,10619,178.0,1.0,903,88.5,4,0
120,10247,178.0,1.0,915,88.66666666666667,5,0
120,10336,178.0,1.0,868,86.83333333333333,4,0
120,10834,196.0,3.0,910,90.16666666666667,3,1
120,11140,178.0,8.0,820,82.0,3,0
120,10677,178.0,1.0,958,94.66666666666667,2,0
119,10757,199.0,2.0,740,74.0,5,0
120,10356,178.0,1.0,930,91.0,2,0
120,10880,191.0,1.0,880,87.83333333333333,4,0
120,10213,196.0,3.0,858,85.83333333333333,3,1
120,10905,196.0,1.0,892,84.33333333333333,1,1
120,10410,194.0,1.0,962,94.66666666666667,2,0
120,10806,179.0,1.0,820,82.0,2,0
120,10318,178.0,1.0,917,77.16666666666667,6,0
119,10333,191.0,1.0,918,91.0,3,0
120,10663,196.0,2.0,840,84.0,2,1
120,10883,196.0,2.0,820,82.0,1,0
119,10214,191.0,2.0,953,93.5,4,0
120,11242,196.0,1.0,943,94.0,1,1
120,10435,178.0,1.0,943,16.333333333333332,2,0
120,10283,179.0,1.0,888,88.83333333333333,3,0
120,10301,178.0,3.0,857,80.83333333333333,2,0
120,11023,196.0,2.0,892,87.5,2,1
120,10775,196.0,1.0,852,85.16666666666667,1,1
120,10267,178.0,1.0,928,92.5,3,0
119,10302,196.0,4.0,898,89.83333333333333,4,1
120,11245,196.0,1.0,885,87.16666666666667,1,1
120,10243,196.0,5.0,895,75.66666666666667,5,1
120,10233,179.0,3.0,933,92.83333333333333,2,0
120,10233,179.0,3.0,930,92.5,2,0
120,10247,191.0,1.0,883,87.33333333333333,5,0
119,10215,196.0,1.0,888,85.0,2,0
120,10384,196.0,2.0,822,81.16666666666667,2,1
120,10215,194.0,3.0,918,91.83333333333333,1,0
120,11026,196.0,1.0,830,81.16666666666667,1,1
120,10267,196.0,2.0,875,85.16666666666667,2,1
120,10274,178.0,1.0,907,89.0,2,0
119,10759,197.0,1.0,908,90.33333333333333,2,0
120,11140,190.0,3.0,795,79.5,2,0
120,10233,179.0,2.0,907,87.33333333333333,6,0
120,11053,196.0,2.0,855,15.833333333333334,2,1
120,10546,193.0,1.0,857,83.0,3,0
119,11054,194.0,2.0,872,86.66666666666667,9,0
120,11164,178.0,1.0,842,84.16666666666667,3,0
119,11164,191.0,1.0,833,82.5,3,0
120,10478,196.0,2.0,788,78.83333333333333,2,0
119,10230,196.0,3.0,907,88.66666666666667,3,1
120,10350,179.0,1.0,912,84.33333333333333,2,0
119,10350,196.0,3.0,995,98.66666666666667,3,1
120,10722,196.0,2.0,927,91.16666666666667,2,1
120,10542,179.0,1.0,928,91.0,2,0
120,10947,178.0,2.0,800,80.0,3,0
120,11199,194.0,3.0,923,92.33333333333333,1,0
120,10952,179.0,1.0,837,83.66666666666667,2,0
120,10550,194.0,1.0,928,92.83333333333333,4,0
119,10293,178.0,1.0,928,90.66666666666667,3,0
120,10215,196.0,1.0,833,83.33333333333333,1,1
119,11043,196.0,1.0,897,89.0,1,1
120,10384,196.0,1.0,845,83.0,1,1
119,10972,176.0,1.0,948,93.0,5,0
120,10436,196.0,1.0,958,95.16666666666667,1,1
120,10290,196.0,1.0,845,83.0,1,1
119,10410,178.0,6.0,900,86.33333333333333,5,0
120,10341,196.0,2.0,773,75.16666666666667,2,0
120,10598,196.0,1.0,845,81.16666666666667,1,1
120,11189,196.0,2.0,908,90.5,2,1
120,10996,196.0,3.0,968,95.66666666666667,3,1
120,10996,196.0,2.0,962,95.0,2,1
119,10743,178.0,1.0,890,89.0,4,0
119,10434,196.0,2.0,843,81.83333333333333,1,0
120,10341,196.0,2.0,825,81.16666666666667,2,1
120,10379,194.0,1.0,868,84.0,5,0
120,10302,191.0,1.0,872,83.5,4,0
120,10565,177.0,3.0,843,81.5,4,0
119,10383,191.0,1.0,877,87.66666666666667,4,0
