GEND,SCHOOL,CONFUNI,CONFCHOIC,WAVERG2,AVG,PREF,ACCEPTED,DIST
120,10345,178.0,6.0,945,93.0,7,0,70.66
120,10394,193.0,5.0,858,85.83333333333333,4,0,111.505
120,10792,193.0,1.0,927,90.0,3,0,48.217
120,10792,178.0,1.0,918,89.16666666666667,2,0,48.217
120,10634,199.0,4.0,913,87.83333333333333,5,0,527.401
120,10579,178.0,1.0,925,89.83333333333333,8,0,548.6
120,10882,178.0,1.0,940,93.83333333333333,3,0,74.62
120,10474,178.0,1.0,878,87.83333333333333,3,0,35.959
120,10940,191.0,2.0,968,94.33333333333333,3,0,134.016
120,10557,179.0,2.0,893,87.83333333333333,3,0,26.523
119,10277,191.0,1.0,903,88.16666666666667,3,0,326.986
120,11148,179.0,4.0,900,90.0,3,0,44.036
120,10870,197.0,3.0,907,89.33333333333333,1,0,267.329
120,10217,199.0,6.0,718,71.83333333333333,9,0,69.301
120,10348,181.0,5.0,815,79.33333333333333,2,0,434.477
119,10324,199.0,4.0,840,85.5,5,0,29.132
120,10982,191.0,2.0,907,90.16666666666667,3,0,82.8
120,10872,194.0,1.0,943,93.16666666666667,5,0,518.118
120,10911,193.0,1.0,828,82.83333333333333,5,0,172.542
119,10253,178.0,1.0,892,87.16666666666667,3,0,71.053
120,10387,178.0,1.0,897,87.66666666666667,5,0,80.095
120,11180,194.0,1.0,930,90.66666666666667,5,0,95.799
119,10711,178.0,3.0,912,91.16666666666667,5,0,120.785
120,11041,196.0,6.0,927,84.2,1,0,7.135
120,10372,194.0,2.0,897,89.66666666666667,3,0,57.272
119,11030,178.0,4.0,935,93.5,2,0,82.1
120,10905,190.0,3.0,838,83.83333333333333,2,0,61.605
120,10327,194.0,16.0,810,81.0,3,0,80.095
120,11013,191.0,1.0,928,92.16666666666667,5,0,91.6
119,11140,178.0,2.0,933,93.33333333333333,6,0,90.18
119,10402,193.0,5.0,770,79.83333333333333,1,0,451.134
119,10217,178.0,1.0,885,86.66666666666667,6,0,69.301
120,10831,196.0,2.0,927,88.16666666666667,2,1,253.935
120,10469,178.0,1.0,955,95.0,3,0,238.548
120,10795,199.0,3.0,830,83.0,2,0,148.182
120,10542,191.0,1.0,955,95.0,2,0,385.085
120,10711,194.0,2.0,928,92.5,7,0,120.785
120,10244,194.0,2.0,867,82.66666666666667,4,0,80.095
120,10218,178.0,1.0,937,93.0,6,0,101.898
119,11030,178.0,3.0,943,93.16666666666667,7,0,80.095
119,10440,178.0,1.0,977,96.33333333333333,2,0,80.341
119,10252,190.0,1.0,855,84.33333333333333,2,0,49.865
120,10211,191.0,2.0,917,90.5,1,0,88.087
120,10273,194.0,4.0,788,78.83333333333333,3,0,49.865
120,11140,194.0,3.0,813,81.33333333333333,6,0,86.654
120,10233,194.0,1.0,880,88.0,3,0,274.237
120,10246,194.0,3.0,858,83.5,2,0,70.198
119,10373,178.0,3.0,938,92.33333333333333,5,0,57.793
120,11049,196.0,1.0,885,88.5,1,1,34.328
119,11164,179.0,1.0,902,90.16666666666667,2,0,75.887
119,10404,178.0,1.0,935,93.33333333333333,4,0,44.036
119,10767,178.0,7.0,820,80.16666666666667,4,0,132.204
120,10882,179.0,4.0,873,86.33333333333333,3,0,67.694
120,11067,199.0,1.0,905,89.83333333333333,2,0,517.127
119,10808,178.0,1.0,853,83.66666666666667,3,0,70.053
120,11102,191.0,1.0,895,89.5,2,0,79.543
119,10255,179.0,2.0,935,92.33333333333333,5,0,450.556
120,10419,193.0,1.0,863,89.0,3,0,515.171
120,10338,178.0,1.0,938,93.33333333333333,2,0,101.898
119,11102,191.0,1.0,960,94.16666666666667,2,0,82.1
119,10487,178.0,2.0,878,86.16666666666667,3,0,517.127
120,10672,194.0,1.0,908,88.33333333333333,4,0,104.717
119,10366,193.0,2.0,985,100.0,1,0,85.743
120,10480,178.0,1.0,887,88.66666666666667,2,0,93.662
119,10827,196.0,2.0,945,94.33333333333333,2,1,289.514
120,10218,178.0,1.0,940,93.33333333333333,6,0,106.86
119,10905,194.0,2.0,0,73.66666666666667,1,0,71.053
120,10239,194.0,1.0,915,91.0,5,0,96.7
120,10611,197.0,5.0,835,82.33333333333333,1,0,73.9
120,10615,199.0,1.0,892,87.66666666666667,2,0,1846.962
120,10913,196.0,2.0,857,85.66666666666667,2,1,92.454
119,10273,194.0,1.0,918,90.16666666666667,5,0,49.865
120,11062,194.0,1.0,943,94.33333333333333,4,0,88.087
120,10233,191.0,1.0,948,94.33333333333333,5,0,202.554
120,10752,196.0,1.0,915,91.5,1,1,273.473
120,10331,178.0,1.0,913,89.33333333333333,3,0,47.066
120,10471,197.0,2.0,835,82.0,1,0,156.952
120,10372,196.0,2.0,885,86.83333333333333,2,1,57.793
120,10960,178.0,3.0,960,95.5,5,0,29.132
119,11177,178.0,1.0,937,91.83333333333333,2,0,256.089
119,10372,194.0,1.0,885,84.0,5,0,57.272
120,10316,194.0,1.0,975,96.66666666666667,3,0,48.809
120,11093,196.0,1.0,867,86.66666666666667,1,1,35.959
120,11094,197.0,4.0,902,90.6,8,0,36.861
120,10273,176.0,4.0,0,74.6,2,0,49.865
119,10619,178.0,1.0,907,89.33333333333333,3,0,76.219
119,10909,196.0,4.0,930,98.0,4,1,36.861
120,10316,178.0,1.0,975,97.5,2,0,50.891
120,10598,196.0,1.0,880,88.0,1,1,14.672
119,11011,179.0,1.0,925,90.66666666666667,3,0,19.322
120,10851,191.0,1.0,905,86.66666666666667,3,0,38.646
119,10974,199.0,1.0,895,88.83333333333333,3,0,501.155
119,10946,193.0,4.0,883,84.66666666666667,2,0,454.886
119,11194,179.0,3.0,933,93.16666666666667,4,0,111.505
119,10381,179.0,3.0,880,86.33333333333333,2,0,305.875
119,10687,191.0,4.0,977,96.33333333333333,2,0,48.217
120,10243,196.0,2.0,807,80.0,1,0,63.292
120,10872,196.0,3.0,893,87.5,3,1,509.41
119,10474,190.0,2.0,948,91.66666666666667,4,0,29.132
120,10392,191.0,1.0,887,87.83333333333333,6,0,137.638
120,10338,178.0,1.0,973,96.66666666666667,3,0,101.898
120,11021,194.0,2.0,813,81.33333333333333,1,0,36.861
120,10946,191.0,3.0,860,83.83333333333333,6,0,454.168
120,11168,194.0,1.0,923,92.33333333333333,3,0,500.669
120,10442,191.0,1.0,922,92.16666666666667,2,0,79.178
119,10350,178.0,1.0,978,94.16666666666667,3,0,119.227
119,10273,178.0,1.0,862,86.16666666666667,4,0,49.865
120,10393,178.0,1.0,905,95.0,3,0,287.087
120,11102,179.0,7.0,875,86.5,5,0,79.187
120,10316,190.0,3.0,860,86.0,1,0,50.5
120,11232,191.0,2.0,942,92.16666666666667,1,0,401.465
120,10273,190.0,2.0,827,82.66666666666667,1,0,49.865
120,10557,191.0,1.0,868,83.66666666666667,4,0,26.523
119,10946,193.0,1.0,865,84.33333333333333,2,0,458.958
120,11132,196.0,1.0,888,88.83333333333333,1,1,36.861
120,10926,196.0,2.0,920,91.16666666666667,2,1,41.652
120,10884,196.0,2.0,895,89.5,2,1,639.439
120,10597,179.0,1.0,928,92.83333333333333,3,0,143.078
120,11059,178.0,1.0,947,93.16666666666667,2,0,58.645
120,10316,194.0,1.0,843,83.83333333333333,3,0,50.5
119,11061,178.0,1.0,868,84.0,2,0,63.292
120,10273,194.0,6.0,737,73.66666666666667,14,0,50.891
120,10986,193.0,3.0,882,85.66666666666667,6,0,497.219
120,10537,181.0,1.0,900,90.0,2,0,197.873
120,11094,197.0,4.0,863,85.16666666666667,3,0,4.295
119,10301,194.0,1.0,952,95.16666666666667,2,0,43.375
119,10324,196.0,1.0,898,96.0,1,1,36.861
119,10504,197.0,2.0,903,86.5,3,0,76.332
120,10234,191.0,1.0,915,91.5,4,0,273.902
120,11013,179.0,3.0,897,89.0,5,0,85.743
120,10808,178.0,1.0,960,93.83333333333333,2,0,70.053
120,11043,196.0,2.0,930,91.5,2,1,58.494
120,10505,197.0,6.0,892,84.83333333333333,1,0,58.645
120,10851,181.0,4.0,782,76.0,2,0,46.357
120,10831,197.0,2.0,843,84.33333333333333,3,0,256.089
120,10394,196.0,7.0,768,75.66666666666667,4,0,93.662
120,10495,178.0,1.0,925,92.16666666666667,2,0,14.672
120,11024,178.0,1.0,965,96.5,3,0,15.182
120,10263,178.0,1.0,938,91.33333333333333,2,0,136.481
120,10301,179.0,3.0,888,87.83333333333333,4,0,43.375
120,10269,190.0,3.0,842,81.66666666666667,1,0,34.413
120,10672,196.0,2.0,850,85.0,2,1,104.717
120,11061,181.0,7.0,815,77.16666666666667,4,0,69.392
120,10703,176.0,3.0,937,91.66666666666667,1,0,143.078
120,10277,196.0,1.0,832,80.33333333333333,2,0,322.041
120,10360,191.0,1.0,940,94.0,3,0,21.165
119,10266,191.0,1.0,973,97.0,3,0,119.227
120,11021,175.0,4.0,783,78.0,3,0,36.861
120,11217,178.0,1.0,940,92.66666666666667,3,0,49.547
