GEND,SCHOOL,CONFUNI,CONFCHOIC,WAVERG2,AVG,PREF,ACCEPTED
120,11149,194.0,1.0,917,90.66666666666667,9,0
120,10971,199.0,3.0,890,89.0,1,0
119,10273,191.0,6.0,907,85.5,5,0
120,10619,178.0,1.0,892,89.16666666666667,2,0
120,10233,178.0,1.0,933,93.0,3,0
119,10459,,,918,91.16666666666667,3,0
120,10235,178.0,1.0,927,92.66666666666667,4,0
119,10469,178.0,2.0,848,84.83333333333333,3,0
120,10709,178.0,1.0,965,95.0,5,0
119,10547,178.0,2.0,928,88.83333333333333,11,0
120,11021,194.0,2.0,935,92.0,3,0
120,10698,178.0,1.0,982,95.16666666666667,4,0
120,11204,178.0,1.0,953,94.83333333333333,5,0
120,10435,199.0,3.0,0,14.333333333333334,5,0
120,10772,191.0,1.0,910,91.0,8,0
120,10619,178.0,1.0,857,85.66666666666667,3,0
119,10316,194.0,1.0,942,92.66666666666667,3,0
119,10960,179.0,1.0,948,94.83333333333333,6,0
120,10373,178.0,4.0,963,95.5,5,0
120,11026,,,975,97.5,3,0
120,10457,190.0,4.0,842,82.0,3,0
120,10821,179.0,1.0,903,88.5,3,0
120,10786,194.0,2.0,957,94.33333333333333,4,0
120,10639,190.0,1.0,887,84.0,5,0
119,10770,178.0,2.0,925,92.0,3,0
119,10619,178.0,1.0,953,94.66666666666667,4,0
120,10228,194.0,2.0,955,93.83333333333333,5,0
120,10565,177.0,4.0,902,88.0,3,0
120,10670,,,925,92.5,3,0
119,10537,178.0,1.0,930,92.16666666666667,2,0
120,10372,194.0,3.0,933,92.16666666666667,9,0
119,10404,191.0,1.0,923,91.83333333333333,6,0
120,10486,193.0,5.0,875,87.5,2,0
120,10302,178.0,1.0,935,90.66666666666667,5,0
120,10218,178.0,1.0,952,95.16666666666667,4,0
120,10662,,,752,75.16666666666667,4,0
120,10487,191.0,3.0,900,88.66666666666667,1,0
120,10410,179.0,4.0,853,84.33333333333333,1,0
120,10262,199.0,1.0,957,94.5,4,0
119,10571,178.0,2.0,958,95.83333333333333,3,0
120,10852,178.0,1.0,928,90.83333333333333,3,0
120,11220,178.0,1.0,963,96.16666666666667,3,0
120,11026,194.0,1.0,977,96.66666666666667,4,0
120,10777,199.0,1.0,945,93.33333333333333,3,0
120,10387,178.0,1.0,897,88.66666666666667,4,0
120,11194,191.0,2.0,882,88.16666666666667,9,0
120,10316,193.0,2.0,835,80.83333333333333,4,0
119,10909,190.0,1.0,883,15.666666666666666,2,0
120,10673,178.0,1.0,960,95.0,3,0
120,10457,178.0,1.0,978,96.33333333333333,2,0
119,10380,190.0,3.0,870,85.0,2,0
120,10290,178.0,1.0,892,89.16666666666667,3,0
120,10880,191.0,1.0,955,95.5,2,0
119,10565,,,850,84.83333333333333,1,0
120,10786,178.0,1.0,983,97.66666666666667,4,0
120,10753,178.0,2.0,967,94.83333333333333,3,0
120,10650,190.0,5.0,850,81.5,2,0
120,11061,194.0,4.0,950,94.5,2,0
119,11026,197.0,2.0,925,91.16666666666667,7,0
120,10316,178.0,1.0,968,94.33333333333333,3,0
120,11236,178.0,1.0,982,96.5,2,0
119,10731,191.0,2.0,933,91.5,4,0
119,10607,191.0,1.0,963,96.33333333333333,3,0
120,11021,193.0,8.0,827,82.66666666666667,1,0
119,11100,179.0,1.0,937,91.5,7,0
120,10729,194.0,1.0,875,87.5,3,0
120,10302,190.0,5.0,875,87.33333333333333,2,0
119,10938,194.0,1.0,892,89.16666666666667,7,0
120,10789,,,913,91.16666666666667,3,0
120,10214,179.0,3.0,917,87.0,2,0
119,10996,178.0,4.0,925,92.5,6,0
119,11111,191.0,11.0,895,88.83333333333333,5,0
120,10807,191.0,1.0,910,91.0,3,0
120,10384,,,885,80.5,2,0
120,11168,,,963,95.5,3,0
120,11088,178.0,2.0,910,90.33333333333333,4,0
120,10301,178.0,1.0,922,89.5,3,0
119,11034,178.0,1.0,983,98.33333333333333,2,0
120,10649,193.0,5.0,875,85.5,4,0
120,11057,,,720,67.33333333333333,5,0
120,10937,194.0,5.0,927,88.66666666666667,4,0
119,11200,178.0,1.0,977,96.83333333333333,5,0
119,11194,194.0,1.0,970,96.0,3,0
120,10567,197.0,1.0,898,73.5,3,0
120,10831,191.0,1.0,943,93.16666666666667,5,0
120,10268,191.0,1.0,913,90.0,5,0
120,10341,178.0,1.0,940,93.33333333333333,2,0
120,11239,191.0,1.0,932,92.83333333333333,4,0
120,10662,191.0,1.0,975,97.0,3,0
119,10341,191.0,1.0,932,92.66666666666667,4,0
119,10546,194.0,1.0,923,91.66666666666667,3,0
119,10829,178.0,1.0,948,94.83333333333333,3,0
119,11017,175.0,4.0,803,67.0,5,0
120,10823,193.0,5.0,795,14.0,2,0
120,10606,191.0,1.0,958,93.66666666666667,2,0
119,10781,178.0,1.0,978,97.16666666666667,5,0
120,10748,181.0,2.0,845,83.5,1,0
119,11195,190.0,2.0,870,87.0,3,0
120,10461,194.0,1.0,960,96.0,3,0
120,10672,178.0,7.0,830,81.0,3,0
120,10459,178.0,1.0,863,84.0,4,0
120,10750,195.0,5.0,842,84.16666666666667,6,0
120,10384,,,837,83.16666666666667,3,0
119,11140,178.0,3.0,920,92.0,7,0
