GEND,SCHOOL,CONFUNI,CONFCHOIC,WAVERG2,AVG,PREF,ACCEPTED,DIST
120,10455,191.0,1.0,890,88.33333333333333,4,0,142.509
120,10223,179.0,1.0,990,97.66666666666667,3,0,35.959
120,10839,178.0,1.0,895,89.33333333333333,3,0,106.86
120,10557,190.0,3.0,802,80.16666666666667,1,0,26.523
120,10429,191.0,1.0,878,87.83333333333333,5,0,35.959
119,10238,178.0,1.0,880,85.0,4,0,253.935
119,11189,175.0,1.0,845,77.5,4,0,274.237
120,10616,199.0,3.0,848,81.66666666666667,4,0,122.771
119,10333,193.0,4.0,882,86.16666666666667,2,0,743.517
120,10384,191.0,1.0,955,91.33333333333333,2,0,69.576
119,11199,199.0,3.0,845,84.5,2,0,5.061
120,10384,,,790,77.5,1,0,73.9
120,11164,178.0,1.0,823,82.33333333333333,3,0,
120,11239,,,818,80.16666666666667,3,0,61.478
120,10238,194.0,1.0,942,93.0,4,0,256.089
120,10384,191.0,4.0,927,91.83333333333333,5,0,73.9
120,10215,177.0,2.0,840,82.33333333333333,4,0,6.603
120,10209,194.0,1.0,895,87.5,2,0,41.652
120,10650,178.0,1.0,927,90.16666666666667,2,0,49.865
120,10505,178.0,1.0,958,92.16666666666667,7,0,4.295
120,10476,177.0,4.0,960,95.5,3,0,8.245
120,10211,179.0,2.0,832,82.33333333333333,3,0,88.087
119,10432,190.0,5.0,852,82.66666666666667,3,0,108.953
119,10454,191.0,2.0,910,87.5,1,0,739.287
120,10299,197.0,3.0,852,85.16666666666667,2,0,51.696
120,10225,178.0,1.0,863,85.33333333333333,3,0,69.821
120,10273,194.0,1.0,877,87.66666666666667,6,0,41.652
119,10851,191.0,1.0,938,93.33333333333333,3,0,38.646
120,10472,191.0,1.0,918,90.66666666666667,3,0,401.539
119,10612,191.0,1.0,958,93.16666666666667,4,0,1427.762
119,10557,191.0,1.0,962,95.66666666666667,2,0,26.523
120,10660,181.0,1.0,762,75.83333333333333,2,0,129.2
120,10561,,,767,76.66666666666667,3,0,89.2
120,10937,178.0,3.0,930,89.16666666666667,2,0,89.771
119,10814,193.0,4.0,850,81.16666666666667,7,0,512.562
120,10650,178.0,1.0,805,79.5,2,0,48.897
120,10660,191.0,2.0,853,84.33333333333333,3,0,137.638
120,10387,,,852,81.5,5,0,77.704
120,10750,193.0,6.0,762,73.83333333333333,3,0,123.68
