GEND,SCHOOL,CONFUNI,CONFCHOIC,WAVERG2,AVG,PREF,ACCEPTED,DIST
120,11093,196.0,1.0,927,91.33333333333333,1,1,44.036
120,10896,196.0,3.0,897,87.66666666666667,3,1,105.068
120,10820,196.0,2.0,918,87.0,2,1,503.183
120,10773,196.0,1.0,750,71.33333333333333,3,0,4.295
120,10970,196.0,1.0,893,89.33333333333333,1,1,503.542
119,10356,196.0,1.0,920,92.0,1,1,21.04
119,10244,196.0,2.0,890,88.33333333333333,2,1,89.771
120,10852,196.0,2.0,837,83.5,1,0,105.996
120,10475,196.0,1.0,933,91.33333333333333,1,1,198.367
120,10530,196.0,2.0,857,85.66666666666667,2,1,48.217
120,10700,196.0,1.0,948,94.33333333333333,1,1,213.801
120,10327,196.0,7.0,835,83.5,1,0,85.743
120,10327,196.0,7.0,857,85.66666666666667,2,0,85.743
119,10356,196.0,7.0,885,86.66666666666667,1,0,21.04
120,11099,196.0,3.0,933,90.33333333333333,3,1,77.704
120,11130,196.0,3.0,962,96.16666666666667,3,1,85.743
120,11144,196.0,1.0,892,89.16666666666667,1,1,89.771
120,10528,196.0,2.0,873,87.33333333333333,2,1,47.319
120,10578,196.0,1.0,930,92.0,1,1,105.996
120,11059,196.0,1.0,915,89.0,1,1,44.362
119,10550,196.0,5.0,860,86.0,3,0,101.898
119,10937,196.0,1.0,865,85.5,5,0,93.662
120,10731,196.0,2.0,952,95.0,2,1,15.182
120,11012,196.0,1.0,930,92.66666666666667,1,1,30.2
119,10380,196.0,2.0,903,90.33333333333333,2,1,63.292
120,10779,196.0,2.0,907,90.66666666666667,2,1,69.392
120,10306,196.0,7.0,945,92.33333333333333,7,1,
120,10235,196.0,2.0,905,89.0,2,1,
119,10937,196.0,2.0,838,83.0,1,0,96.7
120,10223,196.0,2.0,953,93.83333333333333,2,1,29.132
119,10602,196.0,6.0,885,86.66666666666667,1,0,137.638
120,10650,196.0,2.0,893,89.0,2,1,49.865
120,11094,196.0,2.0,897,88.33333333333333,2,1,29.132
120,10738,196.0,2.0,902,86.16666666666667,2,1,35.959
120,10738,196.0,2.0,907,87.5,2,1,35.959
120,10786,196.0,1.0,982,98.0,7,0,44.036
119,11220,196.0,2.0,912,90.5,2,1,58.552
120,10639,196.0,2.0,907,90.66666666666667,2,1,44.036
120,11000,196.0,4.0,937,89.33333333333333,4,1,96.7
120,10213,196.0,1.0,892,88.0,1,1,27.328
120,10327,196.0,4.0,882,88.16666666666667,4,0,80.095
120,11180,196.0,4.0,843,84.33333333333333,5,0,91.207
120,10392,196.0,1.0,907,89.33333333333333,1,1,137.638
120,10896,196.0,6.0,848,84.83333333333333,5,0,105.068
119,10341,196.0,3.0,953,95.0,3,1,47.066
119,11220,196.0,1.0,912,90.0,1,1,48.809
120,10316,196.0,4.0,892,88.16666666666667,1,0,44.036
120,10636,196.0,2.0,923,91.66666666666667,2,1,104.717
119,10434,196.0,2.0,930,92.66666666666667,2,1,49.865
120,11180,196.0,1.0,873,87.33333333333333,1,1,91.207
120,10673,196.0,3.0,907,90.0,3,1,304.344
120,10429,196.0,1.0,880,88.0,1,1,35.959
119,10597,196.0,2.0,877,86.33333333333333,2,1,143.078
120,10868,196.0,9.0,873,87.16666666666667,3,0,104.717
120,10474,196.0,3.0,882,85.0,3,1,29.132
120,10215,196.0,1.0,908,89.16666666666667,1,1,14.672
119,10813,196.0,6.0,948,91.33333333333333,6,1,21.165
119,11091,196.0,1.0,907,90.0,3,0,53.046
120,10674,196.0,1.0,953,95.16666666666667,1,1,27.328
120,10316,196.0,1.0,930,89.83333333333333,3,0,50.5
119,10360,196.0,3.0,913,90.33333333333333,2,0,21.165
120,10360,196.0,3.0,888,88.83333333333333,3,1,21.165
120,10272,196.0,2.0,908,89.83333333333333,2,1,50.891
119,10239,196.0,3.0,888,88.33333333333333,3,1,96.7
120,10738,196.0,2.0,913,91.33333333333333,2,1,35.959
119,10246,196.0,1.0,895,89.5,1,1,70.198
120,10462,196.0,2.0,878,87.83333333333333,2,1,44.036
120,11024,196.0,4.0,938,93.5,4,1,9.638
120,10479,196.0,2.0,903,90.33333333333333,2,1,63.928
120,10725,196.0,3.0,883,87.83333333333333,3,1,44.036
