GEND,SCHOOL,ZIP3,CONFUNI,CONFCHOIC,WAVERG2,AVG,PREF,ACCEPTED
119,10738,L6H,196.0,6.0,875,84.83333333333333,1,0
119,10476,L9C,196.0,2.0,928,87.0,2,1
120,10429,L6H,196.0,1.0,880,88.0,1,1
120,10363,M3A,196.0,3.0,927,92.66666666666667,3,1
120,10363,,196.0,5.0,875,87.5,5,1
120,10215,L9B,196.0,2.0,877,84.0,2,1
120,11120,M1V,196.0,7.0,873,87.33333333333333,7,1
120,10607,K2S,196.0,2.0,907,88.33333333333333,2,1
119,10674,L8J,196.0,2.0,905,86.83333333333333,6,0
120,10217,M9N,196.0,4.0,868,86.83333333333333,4,1
120,10660,L1K,196.0,1.0,837,83.66666666666667,1,1
120,10649,L5V,196.0,2.0,873,86.5,2,1
120,10810,L6X,196.0,2.0,870,84.83333333333333,2,1
120,10407,L9Y,196.0,3.0,902,76.66666666666667,3,1
120,10282,L6X,196.0,2.0,925,91.33333333333333,2,1
120,10697,L6B,196.0,1.0,853,85.0,1,1
120,10213,N3T,196.0,2.0,867,86.66666666666667,2,1
120,10525,L5R,196.0,1.0,933,93.33333333333333,1,1
120,10725,L5M,196.0,5.0,880,83.5,5,1
119,10971,K1B,196.0,4.0,918,89.33333333333333,4,1
120,10837,M9V,196.0,3.0,880,86.5,3,1
120,10578,L6E,196.0,2.0,780,75.33333333333333,2,0
120,10429,L6H,196.0,3.0,843,84.33333333333333,3,1
120,11236,L5M,196.0,2.0,897,87.33333333333333,2,1
120,11179,M9P,196.0,4.0,897,88.0,4,1
120,10250,N0N,196.0,1.0,850,83.0,1,1
120,10215,L9A,196.0,1.0,848,84.83333333333333,1,1
119,10649,L5V,196.0,3.0,880,87.66666666666667,3,1
120,10930,L3X,196.0,1.0,857,85.66666666666667,1,1
120,11188,N2A,196.0,1.0,870,86.33333333333333,1,1
120,10602,L1N,196.0,3.0,882,84.66666666666667,3,1
120,10672,L4J,196.0,3.0,905,90.33333333333333,3,1
120,10490,M3N,196.0,2.0,835,83.5,2,1
120,10358,,196.0,4.0,872,85.66666666666667,4,1
120,11245,L8W,196.0,1.0,878,84.33333333333333,5,0
120,10400,L4W,196.0,1.0,915,89.83333333333333,1,1
120,10813,L7N,196.0,1.0,878,87.5,1,1
120,10680,L9B,196.0,3.0,797,79.16666666666667,1,0
119,10568,L4K,196.0,2.0,913,83.33333333333333,3,0
120,11236,L6Y,196.0,1.0,878,86.16666666666667,4,0
119,10873,M1X,196.0,2.0,890,88.33333333333333,2,1
120,11000,L6C,196.0,3.0,912,88.16666666666667,3,1
120,10476,L8P,196.0,1.0,767,72.33333333333333,1,0
119,10853,L9T,196.0,2.0,882,88.16666666666667,2,1
120,10410,L5J,196.0,2.0,870,85.5,2,1
120,10565,N9E,196.0,3.0,852,84.83333333333333,3,1
120,10877,L4W,196.0,2.0,915,90.0,2,1
120,10302,L6M,196.0,2.0,900,89.5,2,1
120,10567,L3R,196.0,2.0,877,86.33333333333333,2,1
120,10598,L9C,196.0,1.0,958,95.0,4,0
120,10461,K2B,196.0,3.0,958,89.66666666666667,3,1
120,10301,L5J,196.0,1.0,878,85.33333333333333,1,1
120,10698,M4H,196.0,3.0,883,87.16666666666667,3,1
119,10810,L7A,196.0,5.0,867,84.0,5,1
120,10725,L5M,196.0,8.0,903,88.83333333333333,8,1
119,10617,M1J,196.0,7.0,905,72.5,7,1
120,10230,N2G,196.0,3.0,890,87.66666666666667,3,1
120,10462,L5L,196.0,2.0,788,64.66666666666667,2,0
119,10523,N5R,196.0,1.0,897,88.33333333333333,1,1
120,10801,M2J,196.0,2.0,848,84.33333333333333,2,1
120,10562,L9W,196.0,1.0,878,85.33333333333333,1,1
120,11000,L6C,196.0,1.0,912,88.5,1,1
120,10764,L0R,196.0,1.0,895,91.66666666666667,1,1
120,11066,N7M,196.0,2.0,877,84.0,2,1
120,11005,L5G,196.0,4.0,902,90.16666666666667,4,1
120,10281,P6B,196.0,2.0,893,87.0,2,1
120,10848,L7M,196.0,3.0,927,91.33333333333333,3,1
120,10711,L9W,196.0,3.0,913,87.83333333333333,3,1
120,10528,N1L,196.0,2.0,855,85.5,2,1
120,10316,L5R,196.0,2.0,913,89.66666666666667,2,1
120,11245,L8W,196.0,1.0,885,88.5,1,1
119,10853,L9T,196.0,2.0,847,83.33333333333333,2,1
119,11049,L8G,196.0,2.0,947,94.5,3,0
120,10680,L8W,196.0,2.0,793,58.333333333333336,1,0
120,10719,M2L,196.0,1.0,895,82.33333333333333,1,1
120,11236,L5M,196.0,3.0,900,86.16666666666667,3,1
120,11000,L3P,196.0,5.0,903,89.33333333333333,2,0
120,10874,M4G,196.0,1.0,897,84.66666666666667,3,0
120,10412,L1E,196.0,2.0,928,91.66666666666667,2,1
120,10672,L4S,196.0,1.0,850,72.0,1,1
120,10294,L0N,196.0,1.0,900,87.83333333333333,1,1
119,10926,L5C,196.0,3.0,750,71.83333333333333,2,0
120,10682,N3W,196.0,3.0,908,90.83333333333333,3,1
120,10717,L6J,196.0,1.0,855,85.5,1,1
120,10818,L9T,196.0,2.0,850,84.0,2,1
120,10316,L4Z,196.0,1.0,902,87.83333333333333,1,1
119,11021,L9T,196.0,1.0,895,88.83333333333333,1,1
119,10709,L8E,196.0,3.0,923,92.33333333333333,3,1
120,10515,L7R,196.0,1.0,913,89.33333333333333,1,1
120,11236,L5M,196.0,2.0,750,71.66666666666667,2,0
120,10926,L5K,196.0,1.0,862,85.0,1,1
120,10269,N0E,196.0,2.0,902,88.0,2,1
119,11236,L5V,196.0,1.0,935,90.0,8,0
120,11226,L6R,196.0,1.0,875,86.0,1,1
120,10719,M3B,196.0,3.0,877,87.66666666666667,3,1
120,10709,L8E,196.0,1.0,767,76.66666666666667,2,0
120,11184,N4G,196.0,1.0,853,84.66666666666667,1,1
119,11026,M3N,196.0,4.0,888,88.83333333333333,4,1
120,10873,M1B,196.0,1.0,882,88.16666666666667,1,1
120,10464,M1H,196.0,4.0,875,84.0,4,1
120,10301,L5L,196.0,3.0,775,74.66666666666667,1,0
120,10978,L4S,196.0,1.0,877,87.66666666666667,1,1
120,10870,K9V,196.0,1.0,933,93.33333333333333,1,1
120,10639,L5M,196.0,2.0,907,90.0,2,1
119,10234,K0K,196.0,1.0,920,90.16666666666667,1,1
120,10481,M6S,196.0,3.0,777,73.5,3,0
120,10738,L6H,196.0,3.0,863,86.33333333333333,3,1
120,10672,L4B,196.0,3.0,883,88.33333333333333,3,1
