GEND,SCHOOL,ZIP3,CONFUNI,CONFCHOIC,WAVERG2,AVG,PREF,ACCEPTED,DIST
120,10714,L1K,196.0,4.0,903,89.66666666666667,4,1,134.016
120,10733,L6P,196.0,8.0,958,92.83333333333333,8,1,77.8
120,10508,M2M,196.0,4.0,863,85.0,4,1,95.506
119,10400,L4Y,196.0,2.0,893,89.33333333333333,2,1,53.716
120,10973,K8H,196.0,4.0,920,92.0,4,1,455.787
120,11051,L5M,196.0,2.0,943,92.0,2,1,44.036
119,10780,L4W,196.0,4.0,902,87.5,4,1,54.851
119,10434,L5B,196.0,1.0,933,90.83333333333333,1,1,49.865
119,10306,,196.0,7.0,967,94.66666666666667,7,1,
120,11082,M1W,196.0,1.0,893,89.33333333333333,1,0,90.18
120,10233,K0M,196.0,1.0,923,92.33333333333333,1,1,267.329
119,10731,L0R,196.0,4.0,873,85.83333333333333,1,0,58.645
120,11054,M5A,196.0,3.0,902,90.16666666666667,3,1,70.198
120,11117,M1W,196.0,3.0,907,90.66666666666667,3,1,90.18
120,10727,N3C,196.0,1.0,910,91.0,1,1,48.89
120,10566,M1T,196.0,2.0,950,91.66666666666667,2,1,88.169
120,10429,L6H,196.0,1.0,943,94.33333333333333,1,1,35.959
120,10693,M8Z,196.0,3.0,905,86.16666666666667,3,1,56.791
120,10458,M2J,196.0,2.0,888,85.33333333333333,2,1,85.743
120,10697,L6E,196.0,1.0,903,89.16666666666667,1,1,108.667
119,11091,L5M,196.0,3.0,897,87.33333333333333,3,1,44.036
120,10611,L2N,196.0,6.0,908,87.33333333333333,6,1,69.576
119,10361,L1T,196.0,3.0,892,86.66666666666667,3,1,114.116
120,10611,L2T,196.0,1.0,982,93.5,1,1,75.887
120,10568,L4J,196.0,3.0,878,87.83333333333333,3,1,89.771
120,11148,L5N,196.0,4.0,895,89.5,4,1,47.066
120,11209,L9K,196.0,1.0,967,96.5,1,1,9.638
120,10587,M1S,196.0,1.0,923,92.33333333333333,1,1,92.454
120,11135,L3S,196.0,3.0,920,90.33333333333333,3,1,105.996
120,10587,M1S,196.0,4.0,900,90.0,4,1,92.454
119,10587,M1S,196.0,1.0,917,90.83333333333333,1,1,92.454
120,10700,N4K,196.0,4.0,882,88.16666666666667,4,1,213.801
120,11111,M9N,196.0,5.0,875,86.16666666666667,1,0,69.301
120,11002,L4N,196.0,3.0,885,87.0,3,1,149.33
120,10456,L3Z,196.0,3.0,890,87.33333333333333,3,1,118.678
120,10457,L6T,196.0,3.0,913,91.33333333333333,3,1,65.837
120,10718,M4P,196.0,1.0,900,89.16666666666667,1,1,81.336
120,10773,L9H,196.0,2.0,980,97.16666666666667,3,0,4.295
120,10338,L3R,196.0,4.0,898,88.66666666666667,4,1,101.274
120,10495,L8P,196.0,2.0,895,85.83333333333333,2,1,3.248
120,11117,M1T,196.0,2.0,933,93.33333333333333,2,1,88.169
120,11111,M9N,196.0,2.0,913,89.83333333333333,5,0,69.301
120,10564,M1K,196.0,3.0,905,88.83333333333333,3,1,94.663
120,11111,M8Z,196.0,4.0,847,83.33333333333333,3,0,56.791
119,10647,L4E,196.0,5.0,888,88.83333333333333,5,1,111.505
120,10245,L0J,196.0,1.0,877,87.66666666666667,1,1,85.145
120,10788,L8K,196.0,2.0,885,87.0,1,0,12.637
120,10540,L9P,196.0,1.0,893,88.4,1,1,142.918
120,10750,L3Y,196.0,1.0,917,89.33333333333333,1,1,123.68
120,10231,L4G,196.0,3.0,912,90.33333333333333,3,1,119.227
120,10214,L8P,196.0,1.0,900,86.5,6,0,3.248
120,10853,L0P,196.0,1.0,915,91.5,1,1,44.676
120,10850,K7M,196.0,2.0,948,93.5,2,1,323.122
120,10602,L1R,196.0,2.0,922,92.16666666666667,2,1,137.638
119,10937,L4C,196.0,1.0,933,90.0,1,1,96.7
120,11201,L4G,196.0,1.0,933,92.5,1,1,119.227
120,11000,L3T,196.0,5.0,923,89.0,5,1,96.043
120,10697,L6B,196.0,1.0,900,90.0,1,1,108.953
119,10331,L5N,196.0,1.0,930,91.5,1,1,47.066
120,10464,M1H,196.0,2.0,948,92.5,2,1,93.422
119,10721,L6P,196.0,5.0,883,86.16666666666667,5,1,77.8
120,10636,L4C,196.0,1.0,897,89.66666666666667,1,1,96.7
120,10844,L3P,196.0,2.0,907,88.16666666666667,2,1,106.86
119,11209,L9H,196.0,3.0,897,87.16666666666667,3,1,4.295
120,11172,L6M,196.0,3.0,928,91.33333333333333,3,1,29.132
120,10731,L9A,196.0,1.0,953,93.83333333333333,1,1,8.381
120,10738,L6H,196.0,1.0,915,91.33333333333333,1,1,35.959
119,11024,L9G,196.0,2.0,953,95.0,2,1,15.182
119,10578,L3P,196.0,1.0,878,85.0,3,0,106.86
119,10797,N4G,196.0,2.0,910,91.0,2,1,108.952
120,10731,L9K,196.0,1.0,890,89.0,1,1,9.638
120,10571,N0E,196.0,2.0,898,89.83333333333333,2,1,78.822
120,10627,L4N,196.0,3.0,938,93.0,3,1,149.33
120,10666,L7L,196.0,2.0,910,91.0,2,1,21.04
120,10879,M1W,196.0,1.0,942,92.66666666666667,1,1,90.18
119,10263,N0G,196.0,4.0,930,91.83333333333333,4,1,136.481
120,10561,L0S,196.0,1.0,935,92.16666666666667,1,1,79.807
120,10270,M1X,196.0,2.0,837,83.66666666666667,1,0,101.118
120,10780,L5M,196.0,2.0,893,85.83333333333333,2,1,44.036
120,10751,L7C,196.0,2.0,902,90.16666666666667,2,1,76.762
120,10960,L6M,196.0,2.0,943,93.5,2,1,29.132
120,11021,L9T,196.0,1.0,860,85.66666666666667,2,0,36.861
120,11024,L9B,196.0,1.0,905,90.5,1,1,14.672
119,10798,L7G,196.0,2.0,892,85.33333333333333,2,1,58.494
120,10434,L5B,196.0,1.0,907,90.16666666666667,1,1,49.865
119,10272,L5R,196.0,1.0,950,95.0,1,1,50.5
120,10316,L5R,196.0,3.0,873,86.16666666666667,3,1,50.5
120,10619,N2T,196.0,1.0,955,93.66666666666667,5,0,76.219
120,10459,N2K,196.0,1.0,892,87.5,1,1,71.053
120,10780,L5V,196.0,3.0,902,86.16666666666667,3,1,48.809
120,10780,L5V,196.0,4.0,905,87.83333333333333,4,1,48.809
120,10780,L5V,196.0,3.0,913,88.5,3,1,48.809
120,10877,L4Z,196.0,7.0,920,91.0,7,1,50.891
119,10356,L7L,196.0,1.0,922,90.66666666666667,1,1,21.04
120,10466,L4H,196.0,3.0,922,91.66666666666667,3,1,82.229
119,10982,L2E,196.0,1.0,930,93.0,1,1,86.446
120,10953,M4E,196.0,2.0,920,92.0,2,1,76.107
120,10543,L5B,196.0,3.0,923,92.33333333333333,3,1,49.865
119,11195,M6C,196.0,3.0,987,98.33333333333333,3,1,78.836
120,10966,L6S,196.0,3.0,910,88.33333333333333,3,1,69.821
120,10474,L9T,196.0,1.0,918,89.83333333333333,1,1,36.861
120,10438,M9W,196.0,1.0,917,91.66666666666667,1,1,63.928
120,10517,L6V,196.0,8.0,915,89.5,8,1,69.392
120,11021,L6Y,196.0,2.0,952,90.33333333333333,2,1,56.209
119,10738,L6H,196.0,1.0,948,93.33333333333333,7,0,35.959
120,11059,L3M,196.0,1.0,907,89.66666666666667,1,1,44.362
120,11059,L3M,196.0,1.0,918,89.33333333333333,1,1,44.362
119,11051,L5M,196.0,1.0,910,88.16666666666667,1,1,44.036
120,10725,L5M,196.0,3.0,903,89.16666666666667,3,1,44.036
119,10672,L4S,196.0,4.0,912,88.83333333333333,4,1,104.717
120,11086,M4P,196.0,1.0,892,89.16666666666667,1,1,81.336
120,11051,L9T,196.0,3.0,973,95.66666666666667,3,1,36.861
120,10434,L5B,196.0,2.0,885,85.16666666666667,2,1,49.865
