GEND,SCHOOL,ZIP3,CONFUNI,CONFCHOIC,WAVERG2,AVG,PREF,ACCEPTED,DIST
120,10674,L8J,196.0,1.0,962,93.16666666666667,1,1,27.328
120,10692,L0R,196.0,4.0,778,80.2,3,0,58.645
119,10360,L7P,196.0,1.0,942,91.33333333333333,3,0,12.341
120,11152,L9B,196.0,1.0,880,88.4,1,1,14.672
120,10429,L6H,196.0,4.0,815,79.83333333333333,4,1,35.959
120,10429,L6H,196.0,2.0,870,84.33333333333333,2,1,35.959
120,10303,L4H,196.0,2.0,815,80.33333333333333,2,1,82.229
120,10270,M1B,196.0,1.0,948,92.16666666666667,4,0,97.319
120,10429,L6H,196.0,3.0,863,84.16666666666667,3,1,35.959
119,10930,L9N,196.0,1.0,843,84.0,1,1,122.993
120,10997,L0J,196.0,1.0,827,82.66666666666667,1,1,85.145
120,10759,N2Z,196.0,1.0,915,89.5,1,1,206.18
120,10585,N0B,196.0,1.0,808,80.33333333333333,1,1,65.281
120,10383,K0H,196.0,1.0,818,81.83333333333333,2,0,339.69
119,10528,N1G,196.0,2.0,940,91.83333333333333,2,1,47.319
120,10866,L2M,196.0,1.0,838,83.83333333333333,1,1,73.9
120,10674,L8J,196.0,1.0,853,79.66666666666667,1,1,27.328
120,10711,L9W,196.0,1.0,873,87.33333333333333,1,1,120.785
119,11191,L4E,196.0,3.0,892,89.0,3,1,111.505
120,10596,N3Y,196.0,1.0,897,89.8,1,1,82.324
120,10434,L5A,196.0,3.0,828,80.33333333333333,1,0,49.237
120,10468,M1P,196.0,4.0,835,81.0,4,1,91.207
119,10733,L6Y,196.0,1.0,847,84.66666666666667,1,1,56.209
120,10873,M1B,196.0,2.0,862,86.16666666666667,2,1,97.319
120,10505,L0R,196.0,2.0,928,89.0,2,1,58.645
119,10715,L1G,196.0,2.0,860,85.16666666666667,2,1,131.983
120,10383,K7M,196.0,1.0,862,84.33333333333333,1,1,323.122
120,10738,L6M,196.0,1.0,823,80.16666666666667,1,1,29.132
120,10323,,196.0,2.0,842,84.16666666666667,2,1,
120,10640,L6Y,196.0,2.0,805,77.5,2,0,56.209
120,10602,L1R,196.0,1.0,842,84.0,1,1,137.638
120,10230,,196.0,3.0,807,80.66666666666667,3,1,
120,10791,K8H,196.0,1.0,932,92.5,1,1,455.787
120,10810,L7A,196.0,1.0,800,80.0,1,1,63.292
120,10715,L1J,196.0,2.0,930,90.16666666666667,2,1,126.07
120,10552,M1S,196.0,1.0,807,80.66666666666667,1,1,92.454
